Bien jurídico afectado;(Todas);;;;;;;;;;;;
Tipo de delito;(Todas);;;;;;;;;;;;
Subtipo de delito;(Todas);;;;;;;;;;;;
Modalidad;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de Total;;;Etiquetas de columna;;;;;;;;;;
Etiquetas de fila;Cve# Municipio;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Chiapas;7089;Tapachula;3729;4956;5230;6388;3656;3084;2590;2255;2097;1789;1498
Chiapas;7090;Tapalapa;6;7;5;5;1;2;3;3;13;8;2
Chiapas;7091;Tapilula;30;26;15;21;11;13;9;34;31;56;23
Chiapas;7092;Tecpatán;135;91;112;57;46;27;47;27;42;39;17
Chiapas;7093;Tenejapa;57;36;40;28;27;27;11;14;16;16;13
Chiapas;7094;Teopisca;45;53;53;67;63;30;28;40;36;19;27
Chiapas;7096;Tila;66;45;52;45;36;37;49;48;58;58;59
Chiapas;7097;Tonalá;594;252;395;648;449;406;439;441;433;327;247
Chiapas;7098;Totolapa;2;1;3;2;3;5;4;8;3;4;5
Chiapas;7099;La Trinitaria;79;62;107;101;95;90;51;51;66;46;62
Chiapas;7100;Tumbalá;19;34;22;18;21;14;25;20;23;24;24
Chiapas;7101;Tuxtla Gutiérrez;5331;6324;8541;9372;7498;3815;3755;3059;3387;3225;2666
Chiapas;7102;Tuxtla Chico;152;220;221;375;322;253;249;157;172;176;194
Chiapas;7103;Tuzantán;38;73;89;166;183;99;77;82;51;100;68
Chiapas;7104;Tzimol;11;12;22;30;18;25;20;8;12;9;11
Chiapas;7105;Unión Juárez;15;18;24;34;24;18;19;17;27;15;20
Chiapas;7106;Venustiano Carranza;120;78;113;79;93;70;62;73;39;19;28
Chiapas;7107;Villa Corzo;147;126;157;204;180;141;110;92;83;71;100
Chiapas;7108;Villaflores;397;390;489;587;637;525;475;522;370;371;318
Chiapas;7109;Yajalón;71;68;98;97;68;40;34;47;71;63;32
Chiapas;7110;San Lucas;5;8;0;9;8;4;7;5;5;17;1
Chiapas;7111;Zinacantán;30;23;28;19;15;15;16;12;7;16;12
Chiapas;7112;San Juan Cancuc;18;16;34;22;12;17;12;13;18;19;17
Chiapas;7113;Aldama;6;7;12;11;14;5;7;3;0;3;3
Chiapas;7114;Benemérito de las Américas;13;19;15;26;42;45;80;99;58;42;37
Chiapas;7115;Maravilla Tenejapa;10;5;6;5;10;6;4;8;15;5;6
Chiapas;7116;Marqués de Comillas;2;9;13;8;10;10;20;22;13;4;4
Chiapas;7117;Montecristo de Guerrero;3;2;4;6;10;4;2;6;5;1;7
Chiapas;7118;San Andrés Duraznal;4;3;1;5;2;1;0;2;0;0;2
Chiapas;7119;Santiago el Pinar;14;12;6;9;1;3;1;2;1;1;0
Chiapas;7120;Capitán Luis Ángel Vidal;;;;1;1;0;2;0;0;0;1
Chiapas;7121;Rincón Chamula San Pedro;;;;7;14;4;4;4;3;5;6
Chiapas;7122;El Parral;;;;22;35;18;29;46;25;26;25
Chiapas;7123;Emiliano Zapata;;;;9;16;16;22;16;22;14;14
Chiapas;7124;Mezcalapa;;;;58;35;48;65;50;60;51;26
Chiapas;7125;Honduras de la Sierra;;;;;;;0;0;0;0;2
Chihuahua;8001;Ahumada;94;129;60;32;83;114;109;151;186;175;151
Chihuahua;8002;Aldama;461;435;493;452;479;478;442;401;420;369;308
Chihuahua;8003;Allende;87;68;105;81;67;92;77;90;93;97;109
Chihuahua;8004;Aquiles Serdán;44;53;56;59;46;51;58;73;123;106;113
Chihuahua;8005;Ascensión;142;132;200;153;160;154;187;233;284;348;333
Chihuahua;8006;Bachíniva;20;18;20;27;34;61;52;63;76;82;55
Chihuahua;8007;Balleza;74;75;73;87;71;98;139;91;95;90;123
Chihuahua;8008;Batopilas de Manuel Gómez Morín;33;37;35;33;15;20;16;23;16;28;15
Chihuahua;8009;Bocoyna;365;353;231;328;519;430;423;295;364;399;450
Chihuahua;8010;Buenaventura;122;141;151;113;98;120;115;110;131;168;147
Chihuahua;8011;Camargo;908;1048;1051;955;778;654;681;732;821;887;869
Chihuahua;8012;Carichí;67;46;49;44;34;19;24;21;24;26;33
Chihuahua;8013;Casas Grandes;157;119;144;118;102;104;88;117;127;162;205
Chihuahua;8014;Coronado;10;6;10;10;13;8;5;9;13;11;3
Chihuahua;8015;Coyame del Sotol;8;6;8;3;6;14;12;6;10;4;12
Chihuahua;8016;La Cruz;18;18;23;19;19;9;11;27;12;25;15
Chihuahua;8017;Cuauhtémoc;2324;2350;2858;2959;3352;3042;3555;3882;4093;4354;4739
Chihuahua;8018;Cusihuiriachi;47;59;40;49;44;32;55;35;40;39;52
Chihuahua;8019;Chihuahua;19728;17045;17847;16451;15797;15193;17058;21276;21970;23499;20032
Chihuahua;8020;Chínipas;29;21;19;16;22;25;24;18;17;25;47
Chihuahua;8021;Delicias;2696;2623;3033;3079;3237;2678;3153;3269;3605;3459;3106
Chihuahua;8022;Dr. Belisario Domínguez;23;30;31;26;20;19;30;16;14;13;24
Chihuahua;8023;Galeana;32;21;37;36;37;44;42;61;67;85;116
Chihuahua;8024;Santa Isabel;114;113;116;118;138;173;160;140;108;101;85
Chihuahua;8025;Gómez Farías;24;19;66;76;69;38;26;17;21;14;59
Chihuahua;8026;Gran Morelos;34;55;34;43;23;18;34;28;21;23;38
Chihuahua;8027;Guachochi;398;467;422;371;382;326;372;446;467;498;517
Chihuahua;8028;Guadalupe;36;25;36;27;28;25;17;22;12;20;21
Chihuahua;8029;Guadalupe y Calvo;238;263;277;248;283;214;253;241;202;270;259
Chihuahua;8030;Guazapares;38;44;43;41;48;28;48;30;24;33;24
Chihuahua;8031;Guerrero;351;297;304;449;406;364;324;448;569;582;549
Chihuahua;8032;Hidalgo del Parral;2387;2496;2519;2730;2813;2625;3205;3091;3303;3397;3624
Chihuahua;8033;Huejotitán;9;12;13;10;9;3;10;10;13;7;13
Chihuahua;8034;Ignacio Zaragoza;24;16;29;37;19;18;25;18;29;8;34
Chihuahua;8035;Janos;54;49;73;44;34;66;95;84;106;88;117
Chihuahua;8036;Jiménez;545;578;728;812;753;796;812;836;885;851;1051
Chihuahua;8037;Juárez;26139;25604;34043;34948;37902;35298;37436;33033;31364;33764;31659
Chihuahua;8038;Julimes;37;45;51;55;50;56;72;65;55;69;60
Chihuahua;8039;López;18;14;26;28;33;23;28;54;35;27;26
Chihuahua;8040;Madera;178;172;293;240;196;229;208;178;296;281;366
