Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
Sexo;(Todas);;
Rango de edad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Chihuahua;8056;Valle del Rosario;1
Chihuahua;8057;San Francisco de Borja;14
Chihuahua;8058;San Francisco de Conchos;8
Chihuahua;8059;San Francisco del Oro;22
Chihuahua;8060;Santa Bárbara;103
Chihuahua;8061;Satevó;7
Chihuahua;8062;Saucillo;142
Chihuahua;8063;Temósachic;12
Chihuahua;8064;El Tule;0
Chihuahua;8065;Urique;39
Chihuahua;8066;Uruachi;6
Chihuahua;8067;Valle de Zaragoza;21
Chihuahua;8999;No especificado;0
Ciudad de México;9002;Azcapotzalco;2899
Ciudad de México;9003;Coyoacán;4943
Ciudad de México;9004;Cuajimalpa de Morelos;1306
Ciudad de México;9005;Gustavo A. Madero;6838
Ciudad de México;9006;Iztacalco;3199
Ciudad de México;9007;Iztapalapa;9138
Ciudad de México;9008;La Magdalena Contreras;1262
Ciudad de México;9009;Milpa Alta;894
Ciudad de México;9010;Álvaro Obregón;4340
Ciudad de México;9011;Tláhuac;2073
Ciudad de México;9012;Tlalpan;4320
Ciudad de México;9013;Xochimilco;2418
Ciudad de México;9014;Benito Juárez;5238
Ciudad de México;9015;Cuauhtémoc;9795
Ciudad de México;9016;Miguel Hidalgo;4088
Ciudad de México;9017;Venustiano Carranza;3636
Ciudad de México;9999;No especificado;3180
Coahuila de Zaragoza;5001;Abasolo;6
Coahuila de Zaragoza;5002;Acuña;1488
Coahuila de Zaragoza;5003;Allende;256
Coahuila de Zaragoza;5004;Arteaga;292
Coahuila de Zaragoza;5005;Candela;26
Coahuila de Zaragoza;5006;Castaños;167
Coahuila de Zaragoza;5007;Cuatro Ciénegas;105
Coahuila de Zaragoza;5008;Escobedo;10
Coahuila de Zaragoza;5009;Francisco I. Madero;621
Coahuila de Zaragoza;5010;Frontera;566
Coahuila de Zaragoza;5011;General Cepeda;62
Coahuila de Zaragoza;5012;Guerrero;2
Coahuila de Zaragoza;5013;Hidalgo;2
Coahuila de Zaragoza;5014;Jiménez;52
Coahuila de Zaragoza;5015;Juárez;39
Coahuila de Zaragoza;5016;Lamadrid;9
Coahuila de Zaragoza;5017;Matamoros;993
Coahuila de Zaragoza;5018;Monclova;1832
Coahuila de Zaragoza;5019;Morelos;53
Coahuila de Zaragoza;5020;Múzquiz;579
Coahuila de Zaragoza;5021;Nadadores;19
Coahuila de Zaragoza;5022;Nava;246
Coahuila de Zaragoza;5023;Ocampo;31
