FOLIO,MES,FECHA,DIA_SEM,INCIDENTE,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAMEN,HORA_ROBO,MIN_ROBO,HORARI_ROB,PROCESO,VIOLENCIA,ARMA_1,ARMA_2,PER_SOSP,CARAC_PER,T_VEH_SOS,GIRO_NEG,NOM_NEG,REPARTIDOR,DINERO,CANTIDAD,MONTO,TECNOLOGIA,COMPUTO,PANTALLA,CELULAR,ROPA,BICI_TRIC,JOYERIA,CARTERA,ELECTRODOM,HERRAMIENT,VEHICULO,MEDICAMENT,OTROS,CROQUETAS,CONSUMO,GASOLINA,PAGAR_CARR,S_DATOS,FARDERO,ALIAS,EMPLEADO,VEH_SOSP,RECUP_ART,LESIONADO,DETENIDO,AZOTEA,BOQUETE,CORTINA,VENTANA,PARTE_DEL,PARTE_TRAS,BANO,DOMO,SIN_DATOS,CIERRE_PRE,OID,LONG,LAT
313320,NOVIEMBRE,02/11/2018,VIERNES,ROBO TRANSPORTE,JESUS MARIA,URBANA,COLONIA,VALLE DE MARGARITAS,123,CALLE,AZUCENA,NULO,0,NULO,0,NULO,ORQUIDEA,ISIDRO RODRIGUEZ,CLAVEL,JM,22,16,24,SI,NO,NO,NO,1,0,0,TAXISTA,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,194,-102.29110000,21.99033800
315426,NOVIEMBRE,04/11/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,ESPAðA,1052,CALLE,SEGOVIA,NULO,0,NULO,0,NULO,ESPAðA,ZAMORA,SALAMANCA,INSURGENTES,23,14,24,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 3724,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,195,-102.31310000,21.86670500
316433,NOVIEMBRE,06/11/2018,MARTES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE III,525,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,SAN GABRIEL,EL SALITRE,EL COECILLO,TERAN SUR,2,25,25,SI,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,TAXI 2818,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,1,0,0,0,0,0,0,0,0,0,4,196,-102.24610000,21.87352300
320278,NOVIEMBRE,10/11/2018,SABADO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,CALLE,C,NULO,131,NULO,0,NULO,B,SEGUNDA PRIVADA C,A,TERAN NORTE,0,0,26,NO,NO,NO,NO,0,0,0,TAXISTA,TAXI 1483,0,1,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,197,-102.28340000,21.90696400
322265,NOVIEMBRE,11/11/2018,DOMINGO,ROBO TRANSPORTE,CALVILLO,URBANA,COLONIA,LIBERAL,288,CALLE,SERAPIO RENDON,NULO,0,NULO,0,NULO,IGNACIO DE LA LLAVE,MARIANO ESCOBEDO,JOSE MARIA ARTEAGA,CALVILLO,21,3,23,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,198,-102.71500000,21.84082000
324352,NOVIEMBRE,14/11/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INF. MORELOS,616,CALLE,SEGUNDO ANDADOR AGUASCALIENTES,NULO,0,NULO,0,NULO,AGUASCALIENTES ORIENTE,DZILAM,TERCER ANDADOR AGUASCALIENTES,MORELOS,2,42,25,SI,NO,NO,NO,1 HOMBRE,"MORENO, PANTALON VERDE Y CHAMARRA NEGRA",0,TAXISTA,TAXI 3552,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MARIO,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,199,-102.25280000,21.86479400
327892,NOVIEMBRE,18/11/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,COLONIA,PRIMO VERDAD,810,CALLE,PANTALON VALTIERRA,NULO,109,NULO,0,NULO,GENARO COVARRUBIAS,GUADALUPE GONZALEZ,AGUASCALIENTES PONIENTE,POCITOS,1,48,25,SI,NO,NO,NO,0,0,0,TAXISTA,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,6,200,-102.31830000,21.90799000
327916,NOVIEMBRE,18/11/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,FIDEL VELAZQUEZ,766,CALLE,LAS CIBELES,NULO,0,NULO,0,NULO,FUENTE DEL PARQUE,ALAMEDA,FUENTE DE NEPTUNO,TERAN SUR,2,5,25,SI,NO,NO,NO,0,0,0,TAXISTA,UBER,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,201,-102.26100000,21.89020200
331629,NOVIEMBRE,21/11/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LAS PALMAS,582,CALLE,VILLA FLORES,NULO,0,NULO,0,NULO,VILLA OBREGON,PROCERES DE LA ENSEðANZA,VILLA VICTORIA,MORELOS,21,27,23,SI,NO,NO,NO,1 PERSONA,0,0,TAXISTA,TAXI 1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,2,202,-102.23250000,21.85913500
332470,NOVIEMBRE,22/11/2018,JUEVES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,478,AVENIDA,CONVENCION DE 1914 ORIENTE,NULO,0,NULO,0,NULO,JOSE H. ESCOBEDO,SIGLO XIX,CANAL INTERCEPTOR,TERAN SUR,20,27,23,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 3691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,203,-102.27510000,21.89217300
340162,NOVIEMBRE,30/11/2018,VIERNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEðORA DE LA ASUNCION (SECTOR ES502,502,CALLE,MATEO HERNANDEZ VAZQUEZ,NULO,0,NULO,0,NULO,DOMINGO VELASCO,VALLE DE LOS ROMERO,MANUEL ZAVALA MADRIGAL,TERAN NORTE,21,39,24,SI,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,TAXI 2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,204,-102.26150000,21.93580100
340996,DICIEMBRE,01/12/2018,SABADO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VISTA DE LAS CUMBRES,493,AVENIDA,DE LA ESPIGA,NULO,0,NULO,0,NULO,PIANO,MAESTRO FERNANDO SOTO GARCIA,MAESTRO ISMAEL RODRIGUEZ NEGRETE,TERAN SUR,0,0,23,NO,SI,CONTUSA,NO,0,0,0,TAXISTA,TAXI 2478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,SI,0,0,0,0,0,0,0,0,0,0,21,205,-102.24060000,21.89854400
344532,DICIEMBRE,05/12/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLERIAS,491,CALLE,PASEO DE VILLERIAS,NULO,317,NULO,0,NULO,VILLA DE ASIENTOS,VILLA DE TEPEZALA,LA MANZANA,TERAN SUR,10,42,20,SI,NO,NO,NO,1 HOMBRE,SUDADERA NEGRA Y PANT. MEZ.,0,TAXISTA,TAXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,206,-102.24560000,21.88471300
345193,DICIEMBRE,05/12/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA SUR,609,PRIVADA,FLOR DE NOCHEBUENA 100,NULO,103,NULO,99,NULO,FLOR DE NOCHEBUENA 100,FLOR DE NOCHEBUENA,JOSE MARIA ESCRIVA DE BALAGUER,MORELOS,23,50,24,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,0,1,207,-102.27600000,21.82504100
344744,DICIEMBRE,05/12/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE LA LOMA,454,CALLE,LOMA DEL AGUILA,NA,0,NA,0,NA,LOMA DEL CAMALEON,LOMA DEL JABALI,LOMA DEL PUMA,TERAN NORTE,15,54,22,NO,NO,NO,NO,2 MUJERES,NO,NO,TAXISTA,NULO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SIN DATOS,0,NO,NO,NO,2,0,0,0,0,1,0,0,0,0,4,208,-102.24660000,21.91166800
346211,DICIEMBRE,07/12/2018,VIERNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,DONDOMINIO DE BELLAVISTA,524,CALLE,CASIA ORIENTE,NA,211,NA,0,NA,CONDOMINIO BELLAVISTA 209,CONDOMINIO BELLAVISTA 409,BELLA VISTA,TERAN NORTE,2,59,25,SI,NO,NO,NO,1 PAREJA,NO,NO,TAXISTA,TAXI 1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SIN DATOS,0,NO,NO,NO,2,0,0,0,0,1,0,0,0,0,4,209,-102.23930000,21.91859600
352806,DICIEMBRE,13/12/2018,JUEVES,ROBO TRANSPORTE,JESUS MARIA,RURAL,COMUNIDAD,LA LOMITA DE PASO BLANCO,201P,CARRETERA,53 E.C. KM. 4.5 (AGUASCALIENTES - JESUS MARIA) - PASO BLANCO,NA,0,KM 2,0,NA,VISTA HERMOSA,NINGUNO,VENUSTIANO CARRANZA,JM,13,13,21,SI,NO,NO,NO,1 HOMBRE,NO,NO,TAXISTA,TAXI 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NO,0,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,210,-102.31750000,21.96742800
352875,DICIEMBRE,13/12/2018,JUEVES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,HACIENDAS SAN MARCOS,317P,CALLE,HACIENDA SANTORAL 134,NA,0,NA,0,NA,MISION DE SAN MARGARITO FLORES GARCIA,HACIENDA SANTORAL,HACIENDA SANTORAL,MORELOS,0,0,21,NO,NO,NO,NO,1 HOMBRE,NO,NO,TAXISTA,TAXI 3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NO,0,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,211,-102.27020000,21.80802200
370842,DICIEMBRE,31/12/2018,LUNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS VIÑAS,487,CALLE,FLORENCIA,NA,0,NA,0,NA,DE LA VENDIMIA,DE LAS PARRAS,DE LA VID,TERAN SUR,10,11,20,SI,NO,NO,NO,1 MUJER,NO,NO,TAXISTA,UBER,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NO,0,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,212,-102.28340000,21.89967700
