FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CARRETERA,TIPO_CARR,MARCA,SUBMARCA,MODELO,COLOR,PLACAS,SERIE,MOTOR,EDO_PLACAS,HECHOS,TRANSP_PUB,TIPO_VEH,TRANSPTTA,A_TRANS_PA,LLAVES_PUE,LPR,CARP_INV,CASA_VEH,ASEN_REC,COND_REC,CORP_REC,FECHA_REC,DIA_REC,MUN_REC,LONG,LAT,FERIA,EXTORSION,OID
252263825,0,30463,ROBO DE MOTOCICLETA,11,21/11/2025,47,5,1,FRACCIONAMIENTO,CIRCUNVALACION NORTE,243,243,AVENIDA,DE LA CONVENCION DE 1914 NORTE,NA,NA,"700,,,",CALLE,SAUCE,6,0,0,6,00:00-06:35,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,BAJAJ,PULSAR SR200,2024,ROJO CON NEGRO,ND,ND2A55FXXRCG00184,DTXCPG89130,PERMISO,BAJAJ PULSAR SR200 2024 ROJO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.29809,21.8989413,0,Falso,859
114630263,0,30463,ROBO DE MOTOCICLETA,9,30/09/2025,40,2,11,FRACCIONAMIENTO,SAN JOSE DE BUENAVISTA,1311,1311,AVENIDA,JUAREZ SUR,NA,NA,",,,",AVENIDA,REVOLUCION,7,23,57,24,11:57 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,ND,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,ND,2021,NEGRO,05CMY3,3SCK1AAU4M1005804,ND,AGUASCALIENTES,ITALIKA 2021 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.27407,22.0715241,0,Falso,728
252269535,0,30463,ROBO DE MOTOCICLETA,11,21/11/2025,47,5,1,FRACCIONAMIENTO,JARDINES DE LA CONCEPCION II,127,127,CALLE,MONTE BLANCO,NA,NA,",,,",CALLE,MONTES HIMALAYA,6,0,0,24,22::00-23:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,150Z,2026,NEGRO,89ETT1,3SCKE7LBXT1010572,ND,AGUASCALIENTES,ITALIKA 150Z 2026 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.3013,21.9230942,0,Falso,860
251263894,0,30463,ROBO DE MOTOCICLETA,6,29/06/2025,26,7,1,ZONA,ZONA CENTRO,501,501,CALLE,MIGUEL HIDALGO Y COSTILLA,NA,NA,",,,",CALLE,HOSPITALIDAD,1,0,0,12,13:00-00:33,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,KURAZAI,ND,2018,NEGRO,XDZ2L,3K3TAKCD9J1050644,ND,AGUASCALIENTES,KURAZAI 2018 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.29351,21.8831059,0,Falso,471
252139944,0,30463,ROBO DE MOTOCICLETA,11,03/11/2025,45,1,7,COLONIA,SANTA ELENA,1169,1169,CALLE,EJERCITO NACIONAL,NA,NA,"101,,,",CALLE,MORELOS,7,0,0,26,03:00-04:50,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,DM200,2025,NEGRO CON AZUL,ND,3SCK4EKH9S1041095,ND,ND,ITALIKA DM200 2025 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.31959,22.2338997,0,Falso,807
252140910,0,30463,ROBO DE MOTOCICLETA,11,03/11/2025,45,1,6,COLONIA,PROGRESO SUR,1131,1131,CALLE,FRANCISCO VITAL RODRIGUEZ,NA,NA,",,,",CALLE,NICOLAS ESPARZA SUR,7,10,6,20,10:06 a. m.,Falso,Falso,9,ninguna,"2 HOMBRES,1 ENCAPUCHADO,TRAE CASCO VERDE,VISTE DE NEGRO",ND,H,H,8,0,N,N,0,0,Falso,0,N,N,Verdadero,1,1,0,Falso,NA,VENTO,XPRESS,2024,GRIS,84CRT5,3MUA0PBD1R1030362,ND,AGUASCALIENTES,VENTO SPRESS 2024 GRIS,0,MOTO,Falso,PARADO,Falso,Falso,CI/PAB/00834/11-25,Falso,CARR.71 KM6 LAS ANIMAS,1,PA,03/11/2025,1,6,-102.28538,22.1457551,0,Falso,808
252278672,0,30462,ROBO DE MOTOCICLETA,11,23/11/2025,47,7,1,FRACCIONAMIENTO,HACIENDA NUEVA,27,27,CALLE,MEXICO SIEMPRE FIEL,NA,NA,"109,,,",CALLE,SAN JUAN DIEGO,6,5,10,26,05:10 a. m.,Falso,Verdadero,4,fuego,4 HOMBRES,"""EVER""DEL RANCHO EL CHACHO",H,H,8,0,N,N,0,0,Falso,0,CAMIONETA,"CHEVROLET,S-10,VERDE O AZUL",Falso,12,1,0,Falso,NA,ITALIKA,FORZA 250,2019,NEGRO CON ROJO,08ETJ5,3SCPFTHE7K1004614,ND,AGUASCALIENTES,ITALIKA FORZA 250 2019 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.3582,21.9074046,0,Falso,862
250575644,0,30463,ROBO DE MOTOCICLETA,3,25/03/2025,13,2,11,FRACCIONAMIENTO,SAN JOSE DE BUENAVISTA,1311,1311,CALLE,VENEZUELA,NA,NA,",,,",CALLE,DECRETO 30 DE SEPTIEMBRE,7,0,0,22,15:30-18:40,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,VELOCI,ND,2024,GRIS,79CPH2,3VMA2F331R2230603,ND,AGUASCALIENTES,VELOCI 2024 GRIS,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/08092/03-25,Falso,,,,01/01/1900,0,0,-102.27189,22.0741973,0,Falso,206
252281091,0,30463,ROBO DE MOTOCICLETA,11,23/11/2025,47,7,1,FRACCIONAMIENTO,JARDINES DE LA CONCEPCION II,127,127,CALLE,CORDILLERA DE LOS ALPES NORTE,NA,NA,"127,,,",CALLE,MONTE BLANCO,6,0,0,17,21:00-15:20,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Verdadero,"1,23",1,4850,Falso,NA,BERRETTA,250CC,2017,NEGRO CON NARANJA,04ZLW1,LY4YCNLM5H0A20798,167FMM8H300298,ZACATECAS,BERRETTA 250CC 2017 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/29570/11-25,Falso,EL MEZQUITAL,5,JM,25/11/2025,2,5,-102.30183,21.9241009,0,Falso,863
252270918,0,30414,ROBO DE MOTOCICLETA,11,22/11/2025,47,6,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,360,360,ANDADOR,RECINTO CHOYA 502,NA,NA,"8,,,",CALLE,SALVADOR RAMIREZ MARTIN DEL CAMPO,4,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,Falso,"1,23",1,4846,Falso,NA,VENTO,BDS125,2023,AMARILLO CON NEGRO,26CPD5,3MUJACBDXP1003969,1P53FM123012750,AGUASCALIENTES,VENTO BDS125 2023 AMARILLO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/29485/11-25,Verdadero,,,,01/01/1900,0,0,-102.23164,21.871089,0,Falso,865
