FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,LONG,LAT
211356442,30403,CRISTALAZO,11,2021-11-10,45,3,21,1,3,SIN TIPO,LOS ARCOS,248,CALLE,RIO TUXPAN,0,NA,",,,",CALLE,FRESNO,7,true,false,9,1 HOMBRE,EMMANUEL MUÑOZ ALMANZA,0,0,N,N,23,41,0,0,false,4,4,AUTOMOVIL,FORD,GRAND MARQUIS,1,1,1442,-102.68319558,21.87431762
211357885,30411,AUTOPARTES,11,2021-11-11,45,4,10,32,3,COLONIA,LAS FLORES,289,PROLONGACION,TERAN,0,NA,",,,",CALLE,GARDENIA,7,false,false,9,ND,ND,0,0,N,N,20,3,0,0,false,3,1,CAMIONETA,FORD,ND,1,1,1443,-102.72811828,21.84304258
211359370,30411,AUTOPARTES,11,2021-11-11,45,4,17,31,7,SIN TIPO,ESCALERAS,54,CALLE,20 DE NOVIEMBRE,0,NA,",,,",CALLE,JOSE MARIA MORELOS,7,false,false,9,1 HOMBRE,ND,0,0,N,N,22,23,0,0,false,3,2,CAMION,ND,ND,1,6,1444,-102.33276270,22.25139212
211406697,30411,AUTOPARTES,11,2021-11-22,47,1,21,5,1,FRACCIONAMIENTO,MUEJERES ILUSTRES,602,CALLE,DIAGONAL ALFIL,0,NA,",,,",CALLE,MARIA ASCENCION RENTERIA,5,false,false,9,ND,ND,0,0,N,N,23,"22,24",0,5000,false,1,2,AUTOMOVIL,CHRYSLER,SHADOW,1,1,1445,-102.24972014,21.84423297
211407164,30403,CRISTALAZO,11,2021-11-22,47,1,22,52,1,BARRIO,LA PURISIMA,915,PRIVADA,MARTE,0,NA,",,,",CALLE,MARTE,1,false,false,9,ND,ND,0,0,N,N,24,41,0,0,false,4,5,AUTOMOVIL,FORD,FIESTA,1,1,1446,-102.28555343,21.88079147
211407484,30411,AUTOPARTES,11,2021-11-23,47,2,0,36,1,FRACCIONAMIENTO,STEMA,467,CALLE,CALVILLO,0,NA,",,,",CALLE,ARTICULO 15,4,false,false,9,ND,ND,0,0,N,N,25,24,0,4000,false,1,2,CAMION,ISUZU,ND,1,2,1447,-102.27165394,21.89877774
211411430,30411,AUTOPARTES,11,2021-11-24,47,3,4,41,1,FRACCIONAMIENTO,VNSA GUADALUPE,402,CALLE,ROGELIO GALINDO DE LA TORRE,0,NA,"221,,,",CALLE,ERMITA DE SAN SEBASTIAN,3,false,false,9,ND,ND,0,0,N,N,26,23,0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1448,-102.26045088,21.93011375
211411437,30411,AUTOPARTES,11,2021-11-24,47,3,4,49,11,FRACCIONAMIENTO,PASEOS DE LA PROVIDENCIA,349P,CALLE,PASEOS DE SANTA HELENA,0,NA,",,,",CALLE,PASEOS DE SANTA IRENE,7,false,false,9,ND,ND,0,0,N,N,26,3,0,4000,false,1,1,TRAILER,ND,ND,1,1,1449,-102.27395916,22.02627529
211409357,30411,AUTOPARTES,11,2021-11-23,47,2,15,21,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,MONTOYA,0,NA,"304,,,",CALLE,LAS CUMBRES,4,false,false,9,1 HOMBRE,ND,0,0,N,N,10,39,0,0,false,1,5,AUTOMOVIL,CHEVY,MONZA,1,20,1450,-102.25234883,21.88652098
211412482,30411,AUTOPARTES,11,2021-11-24,47,3,12,49,1,FRACCIONAMIENTO,REAL DE HACIENDAS,492,CALLE,HACIENDA PIEDRAS NEGRAS,0,NA,"105,,,",CALLE,HACIENDA MIMIAHUAPAN,4,false,false,9,ND,ND,0,0,N,N,1,22,0,4000,false,1,2,CAMIONETA,FORD,WINDSTAR,1,6,1451,-102.24474896,21.89444451
211413590,30411,AUTOPARTES,11,2021-11-24,47,3,17,20,1,FRACCIONAMIENTO,EJIDO CUMBRES,403,BOULEVARD,GUADALUPANO,0,NA,",,,",CALLE,SIERRA DE SAN BERNARDINO,3,false,false,9,1 HOMBRE,ND,0,0,N,N,22,22,0,0,false,1,2,CAMIONETA,ND,ND,1,6,1452,-102.25526282,21.90893029
211415244,30411,AUTOPARTES,11,2021-11-25,47,4,0,11,1,FRACCIONAMIENTO,BAJIO DE LAS PALMAS,533,CALLE,PALMA MEXICANA,0,NA,",,,",CALLE,PALMA GUADALUPE,5,false,false,9,ND,ND,0,0,N,N,20,11,0,1800,false,2,1,CAMIONETA,ND,ND,1,1,1453,-102.24243122,21.86215169
211415406,30403,CRISTALAZO,11,2021-11-25,47,4,1,36,5,FRACCIONAMIENTO,BELMONDO,214P,PROLONGACION,ZARAGOZA,0,NA,",,,",CALLE,TALAVERA,7,false,false,9,ND,ND,0,0,N,N,20,"26,6,12,38",0,0,false,4,1,AUTOMOVIL,NISSAN,PLATINA,1,1,1454,-102.30880343,21.95711059
211415990,30411,AUTOPARTES,11,2021-11-25,47,4,8,49,3,COLONIA,LOS ANGELES,287,CALLE,REVOLUCION,0,NA,",,,",PRIVADA,SEGUNDA REVOLUCION,7,false,false,9,ND,ND,0,0,N,N,19,22,0,1500,false,1,2,CAMIONETA,CHEVROLET,VAN,1,1,1455,-102.72410358,21.84275547
211416513,30411,AUTOPARTES,11,2021-11-25,47,4,11,57,1,FRACCIONAMIENTO,LAS AMERICAS,1114,CALLE,REPUBLICA DE BRASIL,0,NA,",,,",CALLE,REPUBLICA DE ECUADOR,2,false,false,9,ND,ND,0,0,N,N,20,24,0,0,false,1,2,CAMION,ND,ND,1,1,1456,-102.29880289,21.87017638
211421190,30411,AUTOPARTES,11,2021-11-26,47,5,13,17,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,ROSALIA MONROY,0,NA,",,,",CALLE,JOSE CALVILLO,2,false,false,9,ND,ND,0,0,N,N,9,22,0,0,false,1,2,AUTOMOVIL,NISSAN,ND,1,1,1457,-102.32111495,21.85005570
211428124,30403,CRISTALAZO,11,2021-11-27,47,6,23,19,5,COLONIA,LUIS DONALDO COLOSIO,201,CALLE,LUIS DONALDO COLOSIO,0,NA,",,,",CALLE,16 DE SEPTIEMBRE,7,false,false,9,1 HOMBRE,EL AGUACATE,0,0,N,N,24,24,0,0,false,4,2,CAMIONETA,FORD,ND,1,1,1458,-102.35300560,21.97117216
211429025,30411,AUTOPARTES,11,2021-11-28,47,7,2,2,1,UNIDAD HABITACIONAL,J GUADALUPE POSADA,908,CALLE,JOSE MARIA ESTRADA,0,NA,",,,",AVENIDA,CONVENCION DE 1914 PONIENTE,6,false,false,9,ND,ND,0,0,N,N,12,24,0,0,false,1,2,AUTOMOVIL,NISSAN,SENTRA,1,1,1459,-102.31225384,21.88403664
211429561,30411,AUTOPARTES,11,2021-11-28,47,7,4,15,1,FRACCIONAMIENTO,LOMAS DE BELLAVISTA,524,CALLE,CONDOMINIO BELLA VISTA 113,0,NA,"113,,2,",CALLE,BELLA VISTA,3,false,false,9,ND,ND,0,0,N,N,26,"24,46",0,2000,false,1,2,AUTOMOVIL,DODGE,SPIRIT,1,1,1460,-102.24027814,21.91667062
211429781,30403,CRISTALAZO,11,2021-11-28,47,7,5,49,5,COLONIA,CHICAHUALES I,155,CALLE,GENOVEVO RIVERA,0,NA,",,,",CALLE,FELICIANO MARTINEZ,7,true,false,9,1 HOMBRE,ND,0,0,N,N,26,41,0,0,false,4,4,CAMIONETA,HONDA,CRV,1,1,1461,-102.34894521,21.94965056
211431078,30411,AUTOPARTES,11,2021-11-28,47,7,13,42,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,440,AVENIDA,SIGLO XXI,0,NA,",,,",CALLE,PICACHO,3,true,false,9,1 HOMBRE,ND,0,0,N,N,21,22,0,0,false,3,2,AUTOMOVIL,CHEVROLET,CAVALIER,1,13,1462,-102.25941867,21.90946573
211431180,30411,AUTOPARTES,11,2021-11-28,47,7,14,5,5,PI,CHICHIMECO,355PR,CARRETERA,45 NORTE,0,NA,",,,",AVENIDA,CHICHIMECO,7,true,false,9,1 HOMBRE,FAMILIAR,0,0,N,N,21,28,0,700,false,3,1,CAMION,ND,ND,1,1,1463,-102.33477831,21.99021659
211431627,30411,AUTOPARTES,11,2021-11-28,47,7,16,15,1,COLONIA,LA FE,912,CALLE,GENERAL IGNACIO ZARAGOZA,0,NA,"812,,,",CALLE,ZACATECAS,1,true,false,9,1 MUJER,ND,0,0,N,N,22,12,0,0,false,3,1,CAMIONETA,CHEVROLET,ND,1,1,1464,-102.29458713,21.88966463
211435338,30411,AUTOPARTES,11,2021-11-29,48,1,11,50,1,CONDOMINIO,OJOCALIENTE INEGI,740,CALLE,RETOÑO,0,NA,",,,",CALLE,CIENEGUILLAS,4,false,false,9,ND,ND,0,0,N,N,20,"24,22,27",0,18000,false,1,3,CAMIONETA,ND,ND,1,1,1465,-102.24874426,21.87656965
