FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,FARDERO,INGRESO,REPARTIDOR,OID,LONG,LAT
210231395,30419,ROBO TRANSPORTE PUBLICO,3,07/03/2021,9,7,1,CC,PLAZA BOREAL,3PR,CARRETERA,45 LEON AGUASCALIENTES,NA,NA,",,,",CARRETERA,RAMAL A AEROPUERTO DE AGUASCALIENTES,2,21,9,23,Falso,Verdadero,1,2 HOMBRES,ND,0,0,N,N,"3,28",200,8200,Falso,1,1,TRANSPORTE PUBLICO,TAXI,Falso,9,0,39,-102.27705458,21.72600000
210231400,30420,ROBO TRANSPORTE PUBLICO,3,07/03/2021,9,7,5,COLONIA,J GOMEZ PORTUGAL ORIENTE,125,CALLE,ORQUIDEAS,NA,NA,",,,",CALLE,HIGINIO CHAVEZ,7,0,0,23,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 958,Falso,9,0,40,-102.28543053,21.99700000
210238765,30420,ROBO TRANSPORTE PUBLICO,3,09/03/2021,10,2,1,FRACCIONAMIENTO,CERRO ALTO,456,CALLE,CERRO DE LA ARDILLA,NA,NA,",,,",CALLE,JUAN RULFO,3,17,55,22,Falso,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,550,Falso,1,4,TRANSPORTE PUBLICO,TAXI 2895,Falso,9,0,41,-102.25962057,21.91700000
210247306,30419,ROBO TRANSPORTE PUBLICO,3,11/03/2021,10,4,1,CONDOMINIO,SAN JOSE DE POZO BRAVO,693,AVENIDA,CONSTITUCION,NA,NA,",,,",AVENIDA,SIGLO XXI,3,21,20,23,Falso,Verdadero,3,2 HOMBRES,ND,0,0,N,N,"3,28,30",600,600,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3052,Falso,9,0,42,-102.27891814,21.94100000
210250366,30420,ROBO TRANSPORTE PUBLICO,3,12/03/2021,10,5,5,COLONIA,CHICAHUALES II,151,CALLE,MARAVILLAS,NA,NA,",,,",CALLE,FELICIANO MARTINEZ CRUZ,7,16,13,22,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,28,0,0,Falso,1,1,TRANSPORTE PUBLICO,"CENTRAL DE AUTOBUSES, UNION DE TRANSPORTISTAS",Falso,9,0,43,-102.34960173,21.94500000
210278241,30420,ROBO TRANSPORTE PUBLICO,3,19/03/2021,11,5,1,FRACCIONAMIENTO,CASA BLANCA,553,CALLE,VIVERO DE LA FLROESTA,NA,NA,",,,",CALLE,VIVERO DE LA LOMA,5,0,0,21,Falso,Falso,9,"1 HOMBRE, 2 MUJERES",ND,0,0,N,N,36,0,110,Falso,1,1,TRANSPORTE PUBLICO,TAXI,Falso,9,0,44,-102.27754413,21.85800000
210279318,30419,ROBO TRANSPORTE PUBLICO,3,19/03/2021,11,5,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,766,CALLE,PLAZA FUENTE DE LOS NIÐOS,NA,NA,",,,",CALLE,CATARATAS,4,20,10,23,Verdadero,Verdadero,1,1 HOMBRE,ND,0,0,N,N,28,0,0,Falso,1,2,TRANSPORTE PUBLICO,TAXI,Falso,9,0,45,-102.26052263,21.89100000
210283139,30419,ROBO TRANSPORTE PUBLICO,3,20/03/2021,11,6,1,FRACCIONAMIENTO,NATURA,699,CALLE,JILGUERILLO,NA,NA,",,,",CALLE,AGATA PLATEADO,3,19,37,23,Verdadero,Verdadero,2,2 HOMBRES,ND,0,0,N,N,"3,28",300,6300,Verdadero,1,10,TRANSPORTE PUBLICO,TAXI 2941,Falso,9,0,46,-102.25108767,21.93300000
210283811,30419,ROBO TRANSPORTE PUBLICO,3,20/03/2021,11,6,1,FRACCIONAMIENTO,LOMAS DEL GACHUPIN,724,CALLE,PALMA MEXICANA,NA,NA,",,,",CALLE,LAS FLORES,5,21,57,24,Falso,Verdadero,1,"2 HOMBRES, 1 MUJER",ND,0,0,N,N,"22,28",0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1470,Falso,9,0,47,-102.24276707,21.86200000
210292050,30420,ROBO TRANSPORTE PUBLICO,3,22/03/2021,12,1,1,COLONIA,ALTAVISTA,922,CALLE,RAFAEL ARELLANO,NA,NA,",,,",CALLE,SAN FELIPE,6,19,12,23,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,0,Falso,1,4,TRANSPORTE PUBLICO,TAXI 3338,Falso,9,0,48,-102.30625943,21.89200000
210324962,30419,ROBO TRANSPORTE PUBLICO,3,30/03/2021,13,2,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,766,CALLE,JARDIN DE VERSALLES,NA,NA,",,,",AVENIDA,OJOCALIENTE,4,19,0,23,Falso,Verdadero,1,"3 HOMBRES, 2 TATUADOS DE LOS BRAZOS",ND,0,0,N,N,"3,28",300,300,Falso,1,1,TRANSPORTE PUBLICO,DIDI,Falso,9,0,49,-102.25783370,21.89200000
210334395,30419,ROBO TRANSPORTE PUBLICO,4,01/04/2021,13,4,1,FRACCIONAMIENTO,FRACC RODOLFO LANDEROS GALLEGOS,459,AVENIDA,RODOLFO LANDEROS GALLEGOS,NA,NA,",,,",CALLE,VIRGINIA IBARRA RODRIGUEZ,4,21,48,24,Verdadero,Verdadero,1,1 HOMBRE,ND,0,0,N,N,28,180,180,Falso,1,1,TRANSPORTE PUBLICO,TAXI 818,Falso,9,0,50,-102.25879748,21.90100000
210343218,30419,ROBO TRANSPORTE PUBLICO,4,03/04/2021,13,6,11,PI,DEL VALLE DE AGUASCALIENTES,306PR,CALLE,MUNICIPIO DE TEPEZALA,NA,NA,",,,",AVENIDA,MUNICIPIO DE JESUS MARIA,7,18,10,22,Falso,Verdadero,4,1 HOMBRE,ND,0,0,N,N,"3,6,28",200,200,Falso,1,1,TRANSPORTE PUBLICO,BOLT,Falso,9,0,51,-102.28529712,21.96200000
210339149,30420,ROBO TRANSPORTE PUBLICO,4,02/04/2021,13,5,1,FRACCIONAMIENTO,NATURA,699,AVENIDA,JOSE E FEMAT GUTIERREZ,NA,NA,",,,",CALLE,TALUD,3,21,41,24,Verdadero,Falso,9,UNAS PERSONAS,ND,0,0,N,N,36,0,500,Falso,1,1,TRANSPORTE PUBLICO,TAXI 462,Falso,9,0,52,-102.24976038,21.93600000
210340840,30420,ROBO TRANSPORTE PUBLICO,4,03/04/2021,13,6,1,FRACCIONAMIENTO,CONSTITUCION,794,CALLE,ARTICULO 4,NA,NA,",,,",AVENIDA,CONSTITUCION,3,4,25,26,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,2,1,TRANSPORTE PUBLICO,TAXI,Falso,9,0,53,-102.28578513,21.92000000
210352728,30420,ROBO TRANSPORTE PUBLICO,4,05/04/2021,14,1,1,COLONIA,EL LLANITO,988,CALLE,2 DE ABRIL,NA,NA,",,,",CALLE,5 DE FEBRERO,1,18,55,22,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,2300,Falso,1,1,TRANSPORTE PUBLICO,TAXI 4,Falso,9,0,54,-102.28759809,21.87700000
210364877,30420,ROBO TRANSPORTE PUBLICO,4,08/04/2021,14,4,1,FRACCIONAMIENTO,JESUS TERAN PEREDO,587,AVENIDA,DE LAS PALMAS,NA,NA,",,,",CALLE,FELIPE ANGELES,5,17,18,22,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2927,Falso,9,0,55,-102.27391150,21.87000000
210370729,30420,ROBO TRANSPORTE PUBLICO,4,09/04/2021,14,5,1,FRACCIONAMIENTO,JARDINES DE LA CRUZ,610,AVENIDA,PASEO DE LA CRUZ,NA,NA,",,,",PROLONGACION,OLIVOS,5,23,13,24,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2803,Falso,9,0,56,-102.27482770,21.87400000
210372397,30420,ROBO TRANSPORTE PUBLICO,4,10/04/2021,14,6,1,FRACCIONAMIENTO,EMILIANO ZAPATA,585,CALLE,CARLOS M BUSTAMANTE,NA,NA,",,,",CALLE,ANTONIO DIAZ SOTO Y GAMA,5,10,32,20,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,2,TRANSPORTE PUBLICO,TAXI 2558,Falso,9,0,57,-102.25470256,21.85400000
210379395,30420,ROBO TRANSPORTE PUBLICO,4,11/04/2021,14,7,1,FRACCIONAMIENTO,JARDINES DE LA CRUZ,610,AVENIDA,CONVENCION DE 1914 ORIENTE,NA,NA,",,,",CALLE,MANZANO,5,17,53,22,Verdadero,Falso,9,"2 HOMBRES, 1 MUJER",ND,1,0,N,N,3,0,0,Falso,1,4,TRANSPORTE PUBLICO,UBER,Falso,9,0,58,-102.27119363,21.87500000
