FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAM,HORA_ROB,PROCESO,VIOLENCIA,ARMA_1,DETENIDO,PER_SOSP,ALIAS,T_VEH_SOS,VEH_SOSP,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,ESTEREO,SONIDO,BATERIA,HERRAMIENT,LLANTAS,ACC_LLANTA,ROPA,CELULAR,TECNOLOGIA,BOLSO,DOCUMENTOS,DINERO,CANTIDAD,VARIOS,MONTO,RECUP_ART,CIERRE_PRE,OID,SUB_TIPO,INCIDENTE,LONG,LAT
308317,OCTUBRE,2018-10-28,DOMINGO,12,58,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VISTA DEL SOL III,615,CALLE,LOYOLA ESCOBEDO,0,0,NULO,0,NULO,ARQUEROS,ANOCHECER,MISIONEROS,MORELOS,MED_TAR_A,SI,NO,NULO,0,"1 SUJETO, PANTALON DE MEZCLILLA Y MOCHILA ROJA",0,0,0,A_PUERTAS,PERSONALES,CAMIONETA,TOYOTA,SIN DATOS,0,0,0,0,0,0,1,0,0,0,0,0,0.000000,NULO,500.000000,NO,1,2010,AUTOPARTES,ROBO DE AUTOPARTES,-102.26929569,21.86590398
308702,OCTUBRE,2018-10-28,DOMINGO,19,36,AGUASCALIENTES,RURAL,SIN TIPO,DESARROLLO 21 (LADO JARDINES DEL LAGO),926,BOULEVARD,JUAN PABLO II,0,0,NULO,0,NULO,SIGLO XXI SUR,PASEO DE LAS GARZAS,JUAN PABLO II,INSURGENTES,SIN DATOS,NO,NO,NULO,0,0,0,0,0,A_PUERTAS,PERSONALES,AUTOMOVIL,NISSAN,SENTRA,0,0,0,0,0,0,0,0,0,1,1,0,0.000000,COSMETICOS,0.000000,NO,14,2011,AUTOPARTES,ROBO DE AUTOPARTES,-102.35126771,21.85408781
309366,OCTUBRE,2018-10-29,LUNES,11,26,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SAN CAYETANO,1118,CALLE,SAN CLEMENTE,0,0,NULO,0,NULO,SAN COSME,SAN JOSE,UNIVERSIDAD,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,VERSA,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,2,2012,CRISTALAZO,ROBO DE AUTOPARTES,-102.30853296,21.90055280
309451,OCTUBRE,2018-10-29,LUNES,13,48,AGUASCALIENTES,URBANA,BARRIO,LA ESTACION,745,CALLE,28 DE AGOSTO,0,0,NULO,0,NULO,LERDO DE TEJEDA,VENTURA SALAZAR,HEROE DE NACOZARI NORTE,CENTRO,SIN DATOS,NO,NO,NULO,0,"1 SUJETO, PIEL BLANCA, ALTO, DELGADO",0,AUTOMOVIL,VOLKSWAGEN,CRISTAL,AUTOPARTES,AUTOMOVIL,FORD,GRAND MARQUIS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,1800.000000,NO,28,2013,CRISTALAZO,ROBO DE AUTOPARTES,-102.28222657,21.88689573
309805,OCTUBRE,2018-10-29,LUNES,20,36,AGUASCALIENTES,URBANA,BARRIO,DE GUADALUPE,910,CALLE,RAFAEL GARCIA MACIAS,0,304,NULO,0,NULO,JOSE GUADALUPE POSADA,DOCTOR PEDRO DE ALBA,GENERAL EMILIANO ZAPATA,CENTRO,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,CHEVROLET,CHEVY,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,17,2014,CRISTALAZO,ROBO DE AUTOPARTES,-102.30724112,21.88356985
309912,OCTUBRE,2018-10-29,LUNES,22,44,AGUASCALIENTES,URBANA,BARRIO,DE GUADALUPE,910,CALLE,JOSE GUADALUPE POSADA,0,0,NULO,0,NULO,LARREATEGUI,GUADALUPE,ALAMAN,CENTRO,MED_NOCHE_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,HONDA,HRV,0,0,0,0,0,0,0,0,1,1,0,0,0.000000,EQUIPO MEDICO,60000.000000,NO,17,2015,CRISTALAZO,ROBO DE AUTOPARTES,-102.30739361,21.88599196
309923,OCTUBRE,2018-10-29,LUNES,22,58,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL GALERIAS,357,CALLE,NINGUNO,0,0,NULO,0,NULO,INDEPENDENCIA,NINGUNO,MONTES HIMALAYA,POCITOS,TAR_NOCHE,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,HONDA,HRV,0,0,0,0,0,0,1,0,0,0,0,0,0.000000,NULO,4000.000000,SI,28,2016,CRISTALAZO,ROBO DE AUTOPARTES,-102.29751298,21.92164165
309393,OCTUBRE,2018-10-29,LUNES,12,23,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMA BONITA,1037,CALLE,ARTICULO NUMERO 3,0,429,NULO,0,NULO,CONSTITUYENTES,1857,CONSTITUCION,INSURGENTES,MED_TAR_A,NO,NO,NULO,0,0,0,0,0,A_PUERTAS,AUTOPARTES,CAMIONETA,SIN DATOS,SIN DATOS,0,1,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,1500.000000,NO,10,2017,AUTOPARTES,ROBO DE AUTOPARTES,-102.34147586,21.85045335
309406,OCTUBRE,2018-10-29,LUNES,12,41,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,VIVIENDA POPULAR,1055,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,0,0,NULO,0,NULO,DOCTOR PEDRO DE ALBA,B,NINGUNO,INSURGENTES,MED_TAR_A,NO,NO,NULO,0,0,0,0,0,ABIERTO,AUTOPARTES,CAMION,SIN DATOS,SIN DATOS,0,1,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,400.000000,NO,1,2018,AUTOPARTES,ROBO DE AUTOPARTES,-102.30832778,21.87499138
309622,OCTUBRE,2018-10-29,LUNES,17,21,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO 55 (BODEGA AURRERA PINTORES),802,AVENIDA,SIGLO XXI ORIENTE,0,0,NULO,0,NULO,JOSE LUIS CUEVAS,NINGUNO,NINGUNO,TERAN NORTE,SIN DATOS,NO,NO,NULO,0,1 SUJETO,0,TRICICLO,TRICICLO,A_PUERTAS,PERSONALES,AUTOMOVIL,CHRYSLER,STRATUS,0,0,0,0,0,0,0,1,0,1,0,0,0.000000,NULO,5000.000000,NO,1,2019,AUTOPARTES,ROBO DE AUTOPARTES,-102.26130651,21.91931748
