FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,DESTAC_SEG,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,ARMA_1,ARMA_2,VIOLENCIA,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,MOCHILA,LLAVES,OTROS,TRANS_S_N,UBIC_TRANS,LESIONADO,TRASL_HOSP,FIL_SOSP,ALIAS_SOSP,VEH_SOSP,TIPO_VEH,MONTO,PROCESO,DETENIDO,CIERRE_PRE,OBJ_RECUP,PR_FERIA,OID,INCIDENTE,LONG,LAT
175002,JUNIO,2018-06-17,DOMINGO,23,43,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,IV CENTENARIO,1065,MORELOS,AVENIDA,FERROCARRIL,NA,0,N,0,N,DELICIAS,DE LOS PENSADORES,DELICIAS,CORTANTE,NA,NO,N,1,40,N,NA,0,1,0,1,0,0,0,1,0,1,SI,VIA PUBLICA,NO,VIA PUBLICA,2 SUJETOS UNO VISTE PLAYERA AZUL TIPO CHOLO CON GORRA,NA,N,N,40,NO,0,,,NO,996,Robo a persona,-102.27799413,21.86810089
175151,JUNIO,2018-06-18,LUNES,1,15,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE LA LOMA,454,TERAN NORTE,CALLE,LOMA DEL CARPINTERO,NA,0,N,0,N,LOMA DEL CARPINERO,LOMA DE LAS CALANDRIAS,CULTURA OTOMI,CORTANTE,NA,SI,N,1,500,N,NA,0,1,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VSTE PLAYERA BLANCA PANTALON MEZCLILLA,N,N,N,1000,NO,0,,,NO,997,Robo a persona,-102.24534696,21.91410788
175251,JUNIO,2018-06-18,LUNES,4,1,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,POTRERO DEL OESTE,1098,INSURGENTES,ANDADOR,CORCEL,NA,124,F,0,N,CANARIO,OASEO DE LA ASUNCION,SIGLO XXI,CONTUSA,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,ND,ND,N,N,10000,NO,0,,,NO,998,Robo a persona,-102.30128225,21.84560482
175275,JUNIO,2018-06-18,LUNES,5,56,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CENTRO,CALLE,JOSE MARIA MORELOS Y PAVON,NA,0,N,0,N,ALLENDE ORIENTE,RIVERO Y GUTIERREZ,BENITO JUAREZ,CONTUSA,NA,SI,N,1,0,N,NA,0,0,0,1,0,1,0,0,0,0,SI,ESTACIONAMIENTO,SI,HTM,POLICIAS,N,N,N,0,NO,0,,,NO,999,Robo a persona,-102.29512152,21.88298498
175511,JUNIO,2018-06-18,LUNES,15,7,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE LA CONCEPCION I,848,POCITOS,CALLE,SAN JUAN DE LOS LAGOS,NA,901,N,0,N,CERRO DE LA BUFA,CERRO DEL LAUREL,SAN JULIAN,FUEGO,NA,SI,N,0,0,N,NA,0,0,0,1,1,0,0,0,0,0,NO,NOTARIA,NO,NA,1 SUJETO VISTE PLAYERA AZUL CASCO ROJO,N,MOTOCICLETA,MOTOCICLETA,0,SI,0,,,NO,1000,Robo a persona,-102.31044245,21.92308276
175715,JUNIO,2018-06-18,LUNES,19,30,AGUASCALIENTES,URBANA,BARRIO,LA PURISIMA,915,CENTRO,CALLE,EZEQUIEL A CHAVEZ,NA,0,N,0,N,MARIA CONCEPCION AGUAYO,FRANCISCO I MADERO,ENRIQUE M DEL VALLE,NA,NA,NO,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO 1 MUJER 1 MENOR,1 FAMILIA,MOTOCICLETA,MOTOCICLETA,3500,NO,0,,,NA,1001,Robo a persona,-102.28520103,21.88382703
176062,JUNIO,2018-06-19,MARTES,6,32,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LOMA DORADA,500,TERAN NORTE,CALLE,VILLA CLARA,NA,0,N,0,N,FEDERICO MENDEZ,CELESTINO LOPEZ SANCHEZ,JOSE DE JESUS GONZALEZ GARCIA,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,1,0,0,SI,PARADA CAMION,NO,NA,1 SUJETO VISTE SUDADERA VERDE ESTATURA ALTO COMPLEXION DELGADA,N,N,N,4000,NO,0,,,NO,1002,Robo a persona,-102.24851141,21.92732605
171485,JUNIO,2018-06-15,VIERNES,1,29,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CENTRO,CALLE,JUAN DE MONTORO,NA,0,N,0,N,BENITO JUAREZ,JOSE MARIA MORELOS Y PAVON,FRANCISCO I MADERO,NA,NA,NO,N,0,0,N,NA,0,1,0,0,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO VISTE CAMISA COLOR CLARO Y PANTALON NEGRO,N,N,N,0,NO,0,,,NO,1003,Robo a persona,-102.29464084,21.88045446
171574,JUNIO,2018-06-15,VIERNES,25,25,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,324-P,MORELOS,AVENIDA,RANCHO SAN ANTONIO,NA,0,N,0,N,PIREO,DE LAS PRESAS,PERUSA,NA,NA,NO,N,0,0,N,NA,1,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,ND,ND,N,N,0,NO,0,,,NO,1004,Robo a persona,-102.26621844,21.80966857
173361,JUNIO,2018-06-16,SABADO,22,8,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO OJOCALIENTE,356,TERAN SUR,AVENIDA,TECNOLOGICO,NA,0,N,0,N,BALNEARIOS,OJOCALIENTE,PLAN DE AYALA,FUEGO,NA,SI,N,0,0,N,NA,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NA,1 SUJETO,N,MOTOCICLETA,MOTOCICLETA,0,NO,0,,,NO,1005,Robo a persona,-102.26470035,21.88300332
