FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,FERIA,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,DELEGACION,INCIDENTE,LONG,LAT
261074,NOVIEMBRE,2016-11-14,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,TUXCUECA,0,321,NULO,0,NULO,CULHUACAN,COYOACAN,TIZAPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,SAN FRANCISCO,Robo a casa habitación,-102.25158787,21.95746252
268297,NOVIEMBRE,2016-11-24,JUEVES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,CAJITITLAN,0,512,NULO,1,NULO,TEXCOCO,TENAYUCA,ZACOALCO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,SAN FRANCISCO,Robo a casa habitación,-102.24712279,21.95663868
280519,DICIEMBRE,2016-12-10,SABADO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,JUANACATLAN,0,412,NULO,0,NULO,TEXCOCO,CULHUACAN,NINGUNO,12,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SI,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,SAN FRANCISCO,Robo a casa habitación,-102.24691294,21.95368196
284519,DICIEMBRE,2016-01-14,JUEVES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,LA RIBERA,1515,0,NULO,1,NULO,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,SAN FRANCISCO,Robo a casa habitación,-102.25264185,21.95847006
285063,DICIEMBRE,2016-12-15,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,PONCITLAN,0,513,NULO,0,NULO,TEXCOCO,HUEXOTLA,LA BARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,SAN FRANCISCO,Robo a casa habitación,-102.24790064,21.95814015
294740,DICIEMBRE,2016-12-26,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,ZACOALCO,0,0,SD,0,NULO,RIBERA DE CHAPALA,COYOACAN,SAN JUAN COSALA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,SAN FRANCISCO,Robo a casa habitación,-102.25134729,21.95384049
35907,FEBRERO,2016-02-17,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN JUAN COSALA,0,503,NULO,0,NULO,TEXCOCO,TENAYUCA,NAPIZARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,27,SAN FRANCISCO,Robo a casa habitación,-102.24740376,21.95555423
284403,DICIEMBRE,2016-12-14,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,LA RIBERA,1509,0,NULO,2,NULO,COYOACAN,SIN DATOS,NINGUNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,28,SAN FRANCISCO,Robo a casa habitación,-102.25255022,21.95850311
273961,DICIEMBRE,2016-12-02,VIERNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,PONCITLAN,0,318,NULO,0,NULO,CULHUACAN,COYOACAN,SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,29,SAN FRANCISCO,Robo a casa habitación,-102.25010082,21.95695386
273218,DICIEMBRE,2016-12-01,JUEVES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,PRIVADA,SAN NICOLAS,0,142,NULO,0,NULO,EL SALTO,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2600,30,SAN FRANCISCO,Robo a casa habitación,-102.25337737,21.95388509
267984,NOVIEMBRE,2016-11-23,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,RIBERA DE CHAPALA,0,110,NULO,0,NULO,EL SALTO,RIBERA DE CHAPALA,ZACOALCO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,31,SAN FRANCISCO,Robo a casa habitación,-102.25216046,21.95301194
264752,NOVIEMBRE,2016-11-19,SABADO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN JUAN COSALA,0,402,NULO,2,NULO,CULHUACAN,TEXCOCO,NAPIZARO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,32,SAN FRANCISCO,Robo a casa habitación,-102.24891602,21.95474685
254483,NOVIEMBRE,2016-11-04,VIERNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,ZAPOTLAN DEL REY,0,402,NULO,2,NULO,CULHUACAN,TEXCOCO,SAN ANTONIO TLAYAPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15000,33,SAN FRANCISCO,Robo a casa habitación,-102.24856142,21.95366893
254227,NOVIEMBRE,2016-05-15,DOMINGO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,AJIJIC,0,122,NULO,0,NULO,RIBERA DE CHAPALA,RIO VERDE,JOCOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20000,34,SAN FRANCISCO,Robo a casa habitación,-102.25709909,21.95873320
251443,OCTUBRE,2016-10-31,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,TIZAPAN,0,111,NULO,0,NULO,EL SALTO,RIBERA DE CHAPALA,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,1,400,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,35,SAN FRANCISCO,Robo a casa habitación,-102.25510318,21.95618546
250026,OCTUBRE,2016-10-29,SABADO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,ZACOALCO,0,416,NULO,0,NULO,TEXCOCO,CULHUACAN,CAJITITLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,SAN FRANCISCO,Robo a casa habitación,-102.24812758,21.95569899
