FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,MOT_DET,LESIONADO,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
210230619,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,LOS LAURELES II,703,CIRCUITO,EL LAUREL ORIENTE,NA,NA,"548,,,",N,N,4,0,0,22,1,SOLA,false,false,9,HIJO,FAMILIA,0,NO,0,N,N,SI1,12,0,0,false,1,6,-102.23770000,661,-102.23774907,21.90206489
210230855,30414,ROBO A CASA,3,2021-03-07,9,8,1,CONDOMINIO,OJO DE AGUA FOVISSSTE,593,ANDADOR,ARENA,NA,M,",,201,",ANDADOR,ND,5,0,0,27,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,39,0,0,false,1,7,-102.27660000,662,-102.27663932,21.86627605
210231055,30414,ROBO A CASA,3,2021-03-06,9,6,5,CONDOMINIO,RESIDENCIAL ARBORADA,340P,CALLE,JACARANDAS,NA,NA,"113,,,",CALLE,ARRAYAN,7,0,0,24,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"2,14,28",10000,80000,false,1,1,-102.29750000,663,-102.29755688,21.95062068
210231482,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,TAHONA,926,CALLE,SD,NA,NA,",,,",CALLE,SD,2,0,0,27,7,CONSTRUCCION,false,false,9,ND,ND,0,NO,0,N,N,NO,39,0,0,false,1,2,-102.35920000,664,-102.35920927,21.85865814
210231620,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,LOS VERGELES,876,CALZADA,DE LAS AMERICAS,NA,NA,"25,A,,",CALZADA,AGUSTIN DE ITURBIDE,6,0,0,24,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"12,15",0,0,false,1,6,-102.32310000,665,-102.32311365,21.92585118
210228429,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,SERAPIO RENDON,NA,NA,"102,,,",CALLE,DOROTEO ARANGO,2,6,34,19,1,NO,true,false,9,1 HOMBRE,ND,0,NO,0,N,N,NO,39,0,0,false,1,2,-102.30560000,666,-102.30564721,21.85352732
210228348,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,725,ANDADOR,RECINTO PITAYA,NA,NA,"40,,,",ANDADOR,RECINTO PITAYA,4,0,0,26,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,28,250,250,false,1,2,-102.22950000,667,-102.22955155,21.87014146
210231889,30414,ROBO A CASA,3,2021-03-07,9,7,1,FRACCIONAMIENTO,LUNARIA,597R,CALLE,FOBOS,NA,NA,"130,,,",CALLE,DE LA TORRE,5,0,0,27,9,NO,false,false,9,HERMANO,FAMILIA,0,NO,0,N,N,NO,3,0,1000,false,1,1,-102.25010000,668,-102.25015988,21.83542115
210233008,30414,ROBO A CASA,3,2021-03-08,10,8,1,UNIDAD HABITACIONAL,IV CENTENARIO,1065,RETORNO,MARIANO DIAZ,NA,NA,"103,,,",AVENIDA,DE LOS PESADORES,5,0,0,19,9,NO,false,false,9,HERMANO,FAMILIA,0,NO,0,N,N,NO,"11,14",0,5000,false,1,23,-102.27890000,669,-102.27890068,21.87014864
210233246,30414,ROBO A CASA,3,2021-03-08,10,1,5,FRACCIONAMIENTO,LA CAÑADA,229,CALLE,REVOLUCION,NA,NA,"107,,,",CALLE,LA RIVA,7,0,0,20,9,NO,false,false,9,ND,EL POLLO,0,NO,0,N,N,NO,3,0,7200,false,1,1,-102.35840000,670,-102.35843043,21.95259572
210233436,30414,ROBO A CASA,3,2021-03-08,10,1,1,FRACCIONAMIENTO,SOBERANA CONVENCION REVOLUCIONARIA,503,CALLE,GENERAL PANFILO NATERA,NA,NA,"119,,,",CALLE,ARTICULO 35,3,10,45,20,4,NO,false,false,9,FRANCISCO ESPARZA SANCHEZ,ND,1,SD,0,N,N,NO,28,0,0,false,1,4,-102.27960000,671,-102.27961746,21.93853382
210233551,30414,ROBO A CASA,3,2021-03-08,10,1,1,FRACCIONAMIENTO,LOMAS DE BELLAVISTA,524,CALLE,BELLA VISTA,NA,NA,"603,,,",CALLE,CASIA PONIENTE,3,0,0,2,4,NO,false,false,9,1 HOMBRE,ND,0,NO,0,N,N,NO,3,0,2000,false,1,1,-102.24130000,672,-102.24135759,21.91835367
210233588,30414,ROBO A CASA,3,2021-03-08,10,8,1,COMUNIDAD,MONTORO MESA DEL SALTO,54P,CALLE,SANTA CRUZ,NA,NA,"910,,,",CALLE,20 DE NOVIEMBRE,2,0,0,2,4,NO,false,false,9,RUBEN SAIRO SALCERO,ND,0,NO,0,N,N,NO,"10,11,14",0,0,false,1,2,-102.30290000,673,-102.30296326,21.75199825
210233645,30414,ROBO A CASA,3,2021-03-08,10,8,1,COMUNIDAD,EXHACIENDA PEÑUELAS,28P,CALLE,SD,NA,NA,",,,",N,N,2,0,0,1,4,SOLA,false,false,9,ND,ND,0,NO,0,N,N,NO,10,0,0,false,1,2,-102.28470000,674,-102.28473972,21.71453699
210234130,30414,ROBO A CASA,3,2021-03-08,10,1,1,FRACCIONAMIENTO,VILLAS DEL PILAR I,970,CALLE,JOSE DE JESUS RABAGO IBARRA,NA,NA,"114,,,",CALLE,BELISARIO DOMINGUEZ,2,0,0,9,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"12,28,38",0,0,false,1,1,-102.30800000,675,-102.30801612,21.84599452
210234519,30414,ROBO A CASA,3,2021-03-08,10,1,1,FRACCIONAMIENTO,NATURA,699,ANDADOR,J,NA,74,",,3,",CALLE,JOSE CONTRERAS ESPARZA,3,0,0,7,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"15,28",3000,5000,false,1,1,-102.24900000,676,-102.24907720,21.93420754
210236609,30414,ROBO A CASA,3,2021-03-09,10,2,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SAN BERNARDO,NA,NA,"128,,,",AVENIDA,SAN RAFAEL,4,0,0,15,1,NO,false,false,9,2 HOMBRES VECINOS,VECINO,0,NO,0,N,N,NO,"1,2,4,5,12,15",0,25000,true,1,1,-102.24420000,677,-102.24428542,21.90060199
210236743,30414,ROBO A CASA,3,2021-03-09,10,2,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,PAZ ROMO DE VIVAR,NA,NA,"902,,,",CALLE,MARTHA LETICIA GUZMAN DE A,3,0,0,6,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,12",0,0,false,1,1,-102.25360000,678,-102.25361303,21.90357830
