FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,CUENT_HAB,DINERO,CANTIDAD,BANCO,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,OID,FE_16,VEH_SOSP,INCIDENTE,LONG,LAT
213577,SEPTIEMBRE,2016-09-13,MARTES,16,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,442,AVENIDA,CULTURA MAYA,NULO,0,NULO,0,NULO,CULTURA MAYA 104,RODOLFO LANDEROS GALLEGOS,CULTURA AZTECA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,547,,ITALIKA ROJA,Robo a persona,-102.24304577,21.90574663
213684,SEPTIEMBRE,2016-09-13,MARTES,18,38,AGUASCALIENTES,URBANA,SIN TIPO,AREA DE RESTRICCION NO 41 (TERMINAL DE CAMIONES URBANOS SANTA MONICA),964,TERRACERIA,SIN DATOS,NULO,0,NULO,0,NULO,MAHATMA GANDHI,JOSE MARIA CHAVEZ,JOSE MARIA CHAVEZ,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,GUITARRA,548,,NULO,Robo a persona,-102.28912646,21.82425521
217851,SEPTIEMBRE,2016-09-18,DOMINGO,12,58,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SANTA GABRIELA,NULO,208,NULO,0,NULO,SAN FEDERICO,SANTA CECILIA,SANTA ANITA,NULO,DINERO,100,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,549,,NULO,Robo a persona,-102.24747446,21.90568229
212880,SEPTIEMBRE,2016-09-12,LUNES,19,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR SAN MARCOS),435,CALLE,GASPAR DE LA FUENTE,NULO,0,NULO,0,NULO,JUAN BAUTISTA DE CONDE,FUERTE DE CIENEGA GRANDE,PEDRO HERNANDEZ DE SANTA FE,NULO,DINERO,200,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,550,,NULO,Robo a persona,-102.26211615,21.92705124
212887,SEPTIEMBRE,2016-09-12,LUNES,19,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DEL SOL,566,AVENIDA,MARIANO ESCOBEDO,NULO,0,NULO,0,NULO,AGUASCALIENTES SUR,AURORA BOREAL,30 DE SEPTIEMBRE,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,551,,BICICLETA,Robo a persona,-102.27280805,21.86048777
212974,SEPTIEMBRE,2016-09-12,LUNES,20,56,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,528,AVENIDA,PERSEO,NULO,0,NULO,0,NULO,COCHERO,ESCORPION,ACUARIO,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,552,,NULO,Robo a persona,-102.26854388,21.86977764
213861,SEPTIEMBRE,2016-09-13,MARTES,22,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,ESFUERZO NACIONAL,NULO,0,NULO,0,NULO,POLIDUCTO,PIMIENTA EL CALDERO,REINAS DE LA FERIA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,553,,NULO,Robo a persona,-102.24685521,21.89723919
214061,SEPTIEMBRE,2016-09-14,MIERCOLES,4,53,AGUASCALIENTES,URBANA,COLONIA,EL LLANITO,988,CALLE,2 DE ENERO,NULO,101,NULO,0,NULO,EULALIO GUTIERREZ,5 DE FEBRERO,2 DE ABRIL,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,554,,NULO,Robo a persona,-102.28690869,21.87787400
214296,SEPTIEMBRE,2016-09-14,MIERCOLES,13,55,AGUASCALIENTES,URBANA,DESARROLLO ESPECIAL,ZONA FERIAL,1063,AVENIDA,LICENCIADO ADOFLO LOPEZ MATEOS PONIENTE,NULO,0,NULO,0,NULO,JOSE F. ELIZONDO,RAFAEL RODRIGUEZ DOMINGUEZ,LOS LAURELES,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,555,,NULO,Robo a persona,-102.30234392,21.87627462
214388,SEPTIEMBRE,2016-09-14,MIERCOLES,16,25,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JESUS TERAN PEREDO,587,CALLE,FELIPE ANGELES,NULO,408,NULO,0,NULO,GENERAL PLUTARCO ELIAS CALLES,DE LAS PALMAS,ANTONIO FEMAT ESPARZA,NULO,NULO,0,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,556,,ITALIKA,Robo a persona,-102.27381651,21.87071061
214623,SEPTIEMBRE,2016-09-14,MIERCOLES,21,51,AGUASCALIENTES,URBANA,COLONIA,SAN MARCOS (DELEGACION CENTRO),736,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,NAVARRETE,PARIS,NICOLAS RAMIREZ,NULO,NULO,0,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,557,,NULO,Robo a persona,-102.31213963,21.87744005
