FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
260173302,0,30411,AUTOPARTES,1,2026-01-28,5,3,1,FRACCIONAMIENTO,JOSE GUADALUPE PERALTA GAMEZ,334,CALLE,DECIDERIO MACIAS SILVA,NA,NA,"426,,,",CALLE,DOMITILIO ESTRELLA DEL ANGEL,4,23,33,24,21:00-23:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,CAMIONETA,NISSAN,ND,1,6,0,70,-102.23921360,21.86742717
260170820,0,30403,AUTOPARTES,1,2026-01-28,5,3,6,FRACCIONAMIENTO,SANTA ISABEL,1141,CALLE,REAL DEL SALTO,NA,NA,",,,",CALLE,REAL DE POTOSI,7,15,0,21,12:00-15:29,false,false,9,1 HOMBRE,EL MACACO,H,H,8,0,ND,ND,0,0,false,0,N,N,24,0.00000,0.000000,false,1,2,CAMION,IZUZU,ND,1,1,0,71,-102.26815171,22.08184656
260174060,0,30403,AUTOPARTES,1,2026-01-29,5,4,1,FRACCIONAMIENTO,OJOCALIENTE FOVISSSTE II,587,AVENIDA,PASEO DE LA CRUZ,NA,NA,",,,",CALLE,CERRO DE LOS GALLOS,5,12,43,21,12:00-15:29,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"24,23",0.00000,4500.000000,false,4,2,AUTOMOVIL,VOLKSWAGEN,POINTER,1,13,0,72,-102.25855492,21.87281977
260174082,0,30411,AUTOPARTES,1,2026-01-29,5,4,1,FRACCIONAMIENTO,VILLA DE LAS FUENTES,385,CALLE,VILLAS DE MAZATLAN,NA,NA,"303,,,",CALLE,VILLAS DE VALLARTA,3,6,21,19,06:00-08:59,true,true,9,1 HOMBRE,ND,ND,M,8,0,ND,ND,1,0,true,0,N,N,46,0.00000,0.000000,false,2,2,AUTOMOVIL,MG5,ND,1,13,0,73,-102.23838762,21.91328149
260178333,0,30411,AUTOPARTES,1,2026-01-29,5,4,1,FRACCIONAMIENTO,LAS ARBOLEDAS,130,CALLE,TABACHIN,NA,NA,",,,",CALLE,MARGIL DE JESUS,6,20,45,23,19:00-21:30,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,54,0.00000,0.000000,false,2,2,AUTOMOVIL,GMG,ND,1,2,0,74,-102.30401929,21.89925264
260176323,0,30904,AUTOPARTES,1,2026-01-29,5,4,1,FRACCIONAMIENTO,GOMEZ,237,CALLE,AQUILES ELOURDUY,NA,NA,",,,",AVENIDA,DE LA CONVENCION DE 1914 PONIENTE,6,15,4,21,12:00-15:29,true,false,9,2 HOMBRES,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,39,0.00000,0.000000,false,4,5,AUTOMOVIL,ND,ND,1,6,0,75,-102.31269129,21.88071900
260175487,0,30411,AUTOPARTES,1,2026-01-29,5,4,1,COLONIA,ALTAVISTA,234,CALLE,CARLOS BARRON,NA,NA,"212,,,",CALLE,CARLOS SAGREDO,6,0,0,2,06:00-11:59,false,false,9,1 HOMBRE,EL ABUELO,H,M,8,0,ND,ND,0,0,false,0,N,N,"31,12",0.00000,0.000000,false,0,0,AUTOMOVIL,VOLKSWAGEN,POINTER,1,1,0,76,-102.30605660,21.89404809
260178651,0,30403,AUTOPARTES,1,2026-01-29,5,4,1,FRACCIONAMIENTO,BOSQUES DEL PRADO SUR,153,CALLE,LAGOS DE MORENO,NA,NA,",,,",AVENIDA,UNIVERSIDAD,6,21,20,24,21:30-23:59,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"31,6",0.00000,0.000000,false,4,1,CAMIONETA,CHIREY,ND,1,1,0,77,-102.31114998,21.91082398
260180268,0,30411,AUTOPARTES,1,2026-01-30,5,5,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,223,CALLE,JABONERA,NA,NA,"248,,,",CALLE,LAS AVES,4,0,0,27,sin datos,false,false,9,ND,ND,ND,A,8,0,ND,ND,0,0,false,0,N,N,"22,11",0.00000,14000.000000,false,4,3,AUTOMOVIL,FORD,TOPAZ,1,1,0,78,-102.25583241,21.89740380
260180423,0,30403,AUTOPARTES,1,2026-01-30,5,5,5,FRACCIONAMIENTO,SOLIDARIDAD,1055,CALLE,LAS PALMERAS,NA,NA,"335,,,",CALLE,DEL ARBOL,7,1,25,25,00:00-02:59,false,false,9,1 HOMBRE,ND,ND,H,8,0,ND,ND,0,0,false,0,MOTOCICLETA,SD,"22,23",0.00000,3500.000000,false,4,2,AUTOMOVIL,MAZDA,ND,4,1,0,79,-102.34853487,21.95427823
