FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASENT,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,CAT_SOSP,DET_SPM,MOT_DET,DETENIDO,LESIONADO,TRASL_HOSP,GEN_AFE,CARR_S_N,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,OID,LONG,LAT
220776735,30421,ROBO TRANSEUNTE,6,2022-06-27,26,1,5,FRACCIONAMIENTO,LA TROJE,898,CALLE,CONSTITUCION,NA,NA,",,,",CALLE,EL CALVARIO,7,19,0,0,false,true,4,NA,NA,0,NA,0,4 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,14,0,6000,false,1,1,1,894,-102.35075126,21.96938852
220777610,30421,ROBO TRANSEUNTE,6,2022-06-27,26,1,1,FRACCIONAMIENTO,PINTORES MEXICANOS,671,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,JOSE LUIS CUEVAS,3,23,3,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,N,0,N,N,0,0,false,,NO,N,N,3,0,7000,false,1,1,1,895,-102.26149444,21.92028269
220778169,30421,ROBO TRANSEUNTE,6,2022-06-28,26,2,1,FRACCIONAMIENTO,OJOCALIENTE III,191,AVENIDA,POLIDUCTO,NA,NA,",,,",CALLE,EL MOCHO,4,2,40,0,false,true,4,NA,NA,0,NA,0,1 HOMBRE,N,0,N,N,0,0,false,,NO,N,N,11,0,0,false,1,1,1,896,-102.24302777,21.87761891
220779975,30421,ROBO TRANSEUNTE,6,2022-06-28,26,2,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR SAN MARCOS",580,CALLE,CRISTOBAL DE MONTORO,NA,NA,"226,,,",CALLE,GASPAR DE LA FUENTE,3,16,10,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,4000,true,1,10,1,897,-102.26138194,21.92654893
220780917,30422,ROBO TRANSEUNTE,6,2022-06-28,26,2,1,FRACCIONAMIENTO,CONJUNTO LOS NARANJOS,232,AVENIDA,CONSTITUCION,NA,NA,"1105,,,",CALLE,LOS NARANJOS,3,21,7,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,NA,0,N,N,0,0,false,,NO,MOTOCICLETA,MOTOCICLETA COLOR NEGRO CON VERDE,3,0,0,false,1,3,1,898,-102.28301776,21.93104877
220783828,30421,ROBO TRANSEUNTE,6,2022-06-29,26,3,11,FRACCIONAMIENTO,PASEOS DE LA PROVIDENCIA,1320,CARRETERA,45 AGUASCALIENTES ZACATECAS,NA,NA,",,,",BOULEVARD,PROFESOR J REFUGIO LARA MARTINEZ,7,16,43,0,false,true,8,NA,NA,0,NA,0,2 HOMBRES,JUAN PABLO LEON LOPEZ ALIAS EL LECHON,3,N,N,0,0,false,,SI,N,N,"12,28",420,420,false,1,1,1,899,-102.28414799,22.02258403
220784343,30421,ROBO TRANSEUNTE,6,2022-06-29,26,3,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,CALLE,HACIENDA LAS PILAS,NA,NA,"141,,,",CALLE,HACIENDA SAN LORENZO,4,19,19,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,900,-102.24614595,21.89121121
220784581,30422,ROBO TRANSEUNTE,6,2022-06-29,26,3,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,216,CALLE,JARDIN DE VERSALLES,NA,NA,"275,,,",CALLE,CAMPOS ELISEOS,4,20,20,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,EL CHOCORROL,0,N,N,0,0,false,,NO,N,N,3,0,1500,false,1,1,1,901,-102.25739190,21.89216887
220784813,30422,ROBO TRANSEUNTE,6,2022-06-29,26,3,1,COLONIA,EL RIEGO,291,AVENIDA,VAINA,NA,NA,",,,",CALLE,SIN NOMBRE,4,21,16,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,2,1,902,-102.24931587,21.89450991
220787017,30422,ROBO TRANSEUNTE,6,2022-06-30,26,4,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,226,AVENIDA,RODOLFO LANDEROS GALLEGOS,NA,NA,",,,",AVENIDA,POLIDUCTO,3,12,0,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,N,N,0,0,false,,NO,N,N,3,0,0,false,1,1,1,903,-102.24867491,21.90372278
