FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFECT,CAT_SOS,TRASL_HOSP,FALLECIDOS,DETENIDO,DET_SPM,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,LON,CASIOPEA,OID,LONG,LAT
230546006,30411,AUTOPARTES,4,2023-04-29,17,6,19,37,23,1,BARRIO,LA SALUD,499,AVENIDA,PASEO DE LA CRUZ,0,NA,",,,",PROLONGACION,COSIO SUR,1,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"11,46",0,0,false,1,1,AUTOMOVIL,CHEVROLET,BEAT,1,1,-102.28690000,0,774,-102.28694108,21.87346062
230548019,30403,AUTOPARTES,4,2023-04-30,18,7,0,37,20,1,FRACCIONAMIENTO,LAS CUMBRES,218,CALLE,SIERRA DE NACOZARI,0,NA,",,,",AVENIDA,SIGLO XXI,3,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"38,24",0,0,false,4,3,AUTOMOVIL,ND,ND,1,1,-102.25950000,0,775,-102.25954673,21.91075375
230548620,30411,AUTOPARTES,4,2023-04-30,18,7,2,26,25,6,BARRIO,CARBONERAS,1118,CALLE,ALVARO OBREGON SUR,0,NA,",,,",CALLE,HEROE DE NACOZARI,7,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"22,23",0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,-102.27020000,0,776,-102.27024513,22.14673484
230549118,30411,AUTOPARTES,4,2023-04-30,18,7,4,31,26,1,BARRIO,EL ENCINO,517,AVENIDA,ADOLFO LOPEZ MATEOS,0,NA,",,,",CALLE,16 DE SEPTIEMBRE,1,true,true,8,3 HOMBRES,ND,H,M,8,false,0,0,ND,1,N,N,"3,24,22",0,0,false,1,3,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,-102.29150000,0,777,-102.29159167,21.87904880
230549732,30411,AUTOPARTES,4,2023-04-30,18,7,8,35,20,1,BARRIO,GUADALUPE,502,CALLE,AZTECA,0,NA,"218,,,",CALLE,RAFAEL GARCIA MACIAS,1,true,false,9,1 MUJER,ND,M,M,8,false,0,0,ND,0,N,N,"12,38",0,0,false,1,1,CAMIONETA,CHEVROLET,VAN,1,1,-102.30550000,0,778,-102.30556069,21.88310866
230551601,30403,AUTOPARTES,4,2023-04-30,18,7,17,14,22,1,FRACCIONAMIENTO,OJOCALIENTE III,191,AVENIDA,SAN FRANCISCO DE LOS VIVEROS,0,NA,",,,",CALLE,EL CHIQUIHUITE,4,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,28,0,0,false,4,1,AUTOMOVIL,NISSAN,ND,1,1,-102.24330000,0,779,-102.24336637,21.88117648
230551846,30411,AUTOPARTES,4,2023-04-30,18,7,18,6,22,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,221,CALLE,EL COTON,0,NA,"103,,,",AVENIDA,GIGANTE,3,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,11,0,0,false,2,1,CAMIONETA,CHEVROLET,SILVERADO,1,1,-102.26140000,0,780,-102.26140403,21.90894522
230555620,30403,AUTOPARTES,5,2023-05-01,18,1,7,29,19,1,FRACCIONAMIENTO,CUMBRES III,674,BOULEVARD,GUADALUPANO,0,NA,",,,",CALLE,MARTIN PESCADOR,3,true,false,9,1 HOMBRE,ND,H,M,8,false,0,0,ND,0,N,N,23,0,0,false,4,2,AUTOMOVIL,NISSAN,TSURU,1,13,-102.24200000,0,781,-102.24209156,21.92257345
230556665,30403,AUTOPARTES,5,2023-05-01,18,1,13,18,21,5,COLONIA,LA LOMA,894,CALLE,COPAN,0,NA,",,,",CALLE,PEDRO DE LUNA,7,false,false,9,2 HOMBRES,ND,ND,H,8,true,0,0,ND,0,N,N,"22,29",0,0,false,4,2,AUTOMOVIL,ND,ND,1,1,-102.34710000,0,782,-102.34718541,21.94712627
230557186,30411,AUTOPARTES,5,2023-05-01,18,1,15,44,22,1,ZONA,ZONA CENTRO,501,CALLE,MARIANO MATAMOROS NORTE,0,NA,",,,",CALLE,IGNACIO ALLENDE,1,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"46,22,12,31,24",0,0,false,1,2,CAMIONETA,CHEVROLET,S10,1,1,-102.29980000,0,783,-102.29983974,21.88071217
230557772,30411,AUTOPARTES,5,2023-05-01,18,1,17,47,22,1,FRACCIONAMIENTO,BULEVAR,156,CALLE,JARDIN DEL ESTUDIANTE,0,NA,",,,",CALLE,LUIS ADOLFO,5,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"11,22,38",0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,-102.29290000,0,784,-102.29295330,21.86705156
230560699,30403,AUTOPARTES,5,2023-05-02,18,2,8,18,19,1,FRACCIONAMIENTO,LOMAS DEL MIRADOR II,333,CALLE,JUANA DE ARCO,0,NA,"1508,,,",CALLE,LOMA AMARILLA,5,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,11,0,0,false,4,1,AUTOMOVIL,CHEVROLET,BEAT,1,1,-102.25850000,0,785,-102.25850857,21.84891749
230563533,30403,AUTOPARTES,5,2023-05-02,18,2,19,48,23,1,FRACCIONAMIENTO,LA HERRADURA,111,AVENIDA,LAS HUERTAS,0,NA,",,,",CALLE,CLAVELLINAS,6,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,46,0,0,false,4,2,CAMIONETA,MAZDA,ND,1,1,-102.33100000,0,786,-102.33101012,21.92934881
230564764,30411,AUTOPARTES,5,2023-05-02,18,2,23,53,24,1,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,143,CALLE,REPUBLICA DE BELICE,0,NA,",,,",CALLE,MANAGUA,2,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"22,29,27",0,0,false,1,2,AUTOMOVIL,CHEVROLET,BEAT,1,1,-102.30620000,0,787,-102.30629438,21.86792621
230445977,30403,AUTOPARTES,4,2023-04-10,15,1,6,24,19,5,FRACCIONAMIENTO,J. GOMEZ PORTUGAL NORTE,911,AVENIDA,MARGARITAS,0,NA,",,,",CALLE,VENUSTIANO CARRANZA,7,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,11,15000,0,false,4,2,CAMIONETA,FORD,PICK-UP,1,13,-102.29250000,0,788,-102.29253470,21.99957985
230447018,30403,AUTOPARTES,4,2023-04-10,15,1,11,16,20,1,FRACCIONAMIENTO,MONTEBELLO,263,CALLE,REPUBLICA MEXICANA,0,NA,"123,,,",CALLE,LIMA,2,true,false,9,2 HOMBRES,"SEALTIEL MORENO LARA, KARINA JAQUELINE HERNANDEZ QUEZADA",A,H,8,false,0,2,ND,0,N,N,31,0,0,false,4,1,AUTOMOVIL,VOLKSWAGEN,JETTA,1,4,-102.30890000,0,789,-102.30895802,21.86509839
230448051,30403,AUTOPARTES,4,2023-04-10,15,1,15,3,21,1,CONDOMINIO,CENTRO COMERCIAL VILLASUNCION,92,AVENIDA,MAHATMA GANDHI,0,NA,",,,",AVENIDA,AGUASCALIENTES SUR,2,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,"31,2,6",0,34000,false,4,1,AUTOMOVIL,MAZDA,ND,1,1,-102.29360000,0,790,-102.29361600,21.85615920
230448808,30411,AUTOPARTES,4,2023-04-10,15,1,18,27,5,1,FRACCIONAMIENTO,EJIDO CUMBRES,210,CALLE,SIERRA DE PARRAL,0,NA,"105,,,",CALLE,SIERRA DE MIL CRUCES,3,false,false,9,ND,ND,ND,ND,8,false,0,0,ND,0,N,N,"24,28,38",0,0,false,1,2,AUTOMOVIL,ND,ND,1,1,-102.25470000,0,791,-102.25475569,21.91123740
230450607,30411,AUTOPARTES,4,2023-04-11,15,2,6,26,19,1,FRACCIONAMIENTO,LAS CUMBRES,218,CALLE,CUATROMILPAS,0,NA,"307,,,",CALLE,SIMON CALZADA LOERA,3,true,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,-102.26580000,0,792,-102.26587094,21.91113657
