FOLIO,NUM_REP,NUM_OP,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,TIPO_ARMA,ARMA_2,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CAR_MON,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,LESIONADO,VEH_SOSP,C_VIOL,MONTO,PROCESO,DETENIDO,FIL_SOSP,PR_FERIA,TRASL_HOSP,DESTAC_SEG,OID,INCIDENTE,LONG,LAT
55678,,,MARZO,2017-03-06,LUNES,18,53,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,RODOLFO LANDEROS GALLEGOS,NULO,0,NULO,0,NULO,POLIDUCTO,SANTA CECILIA,SANTA MONTSERRAT,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA ITALIKA,NO,,,,,NULO,,,328,Robo a persona,-102.24795789,21.90387303
61779,,,MARZO,2017-03-14,MARTES,15,20,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NULO,1202,NULO,0,NULO,GENERAL MATEO ALMANZA,BELISARIO DOMINGUEZ,DOCTOR MARIANO AZUELA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,329,Robo a persona,-102.30918548,21.85135227
62030,,,MARZO,2017-03-14,MARTES,21,16,AGUASCALIENTES,URBANA,COLONIA,OLIVARES SANTANA,721,PROLONGACION,PROFESOR EDMUNDO GAMEZ OROZCO,NULO,2223,NULO,0,NULO,FUNDICION,PROFESOR J JESUS ALVAREZ,PROFESOR J JESUS ALVAREZ,PENETRANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,330,Robo a persona,-102.31264076,21.89583476
62044,,,MARZO,2017-03-14,MARTES,21,32,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL PLAZA FIESTA,989,AVENIDA,AGUASCALIENTES SUR,NULO,0,NULO,0,NULO,JOSE MARIA CHAVEZ,JUAN B OROZCO,FRAY JUNIPERO SERRA,PENETRANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,LAPTOP,CELULAR,NULO,NULO,NULO,PARRILLA,NO,JETTA,SI,,,,,NULO,,,331,Robo a persona,-102.29183035,21.85856950
62093,,,MARZO,2017-03-14,MARTES,22,25,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS LAURELES II,703,CIRCUITO,EL LAUREL ORIENTE,NULO,0,NULO,0,NULO,RODOLFO LANDEROS GALLEGOS,ARRAYAN,GRANO,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,332,Robo a persona,-102.23873733,21.90697254
62471,,,MARZO,2017-03-15,MIERCOLES,12,57,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,AVENIDA,CULTURA OTOMI,NULO,0,NULO,0,NULO,SAN JOSE,SAN IGNACIO,GILGERO,CORTANTE,NULO,NULO,DINERO,100,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA NEGRA,SI,,,,,NULO,,,333,Robo a persona,-102.24549375,21.90149422
62555,,,MARZO,2017-03-15,MIERCOLES,14,42,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,IV CENTENARIO,1065,RETORNO,J GOMEZ PORTUGAL,NULO,0,NULO,0,NULO,PASEJE PEDRO PARGA,DE LOS FUNDADORES,HOMBRES ILUSTRES,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,334,Robo a persona,-102.27949199,21.87146674
62576,,,MARZO,2017-03-15,MIERCOLES,15,27,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS ARBOLEDAS,758,CALLE,MARGIL DE JESUS,NULO,1305,NULO,0,NULO,LIBERTAD,ROBLE,ABEDUL,FUEGO,NULO,NULO,DINERO,150000,BANORTE,BANORTE UNIVERSIDAD,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,JETTA AZUL MOTO NEGR,SI,,,,,NULO,,,335,Robo a persona,-102.30084374,21.90031379
62630,,,MARZO,2017-03-15,MIERCOLES,16,41,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PASEOS DE LOS CACTUS,479,CALLE,FRAILEA,NULO,0,NULO,0,NULO,ELOISA BARBOSA CHAVEZ,FRAILEA,ESCOBARIA,NULO,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,CELULAR,NULO,NULO,NULO,IDENTIFICACIONES,NO,MOTOCICLETA NEGRA,NO,,,,,NULO,,,336,Robo a persona,-102.23411725,21.87539395
62749,,,MARZO,2017-03-15,MIERCOLES,19,31,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LINDAVISTA,407,AVENIDA,AYUNTAMIENTO,NULO,0,NULO,0,NULO,DE LOS PLACERES,JARDIN DEL ENCINO,JARDIN DE ZARAGOZA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,CADENA,NULO,NULO,NULO,NO,MOTOCICLETA BLANCA,NO,,,,,NULO,,,337,Robo a persona,-102.28789138,21.86998281
62799,,,MARZO,2017-03-15,MIERCOLES,20,28,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE FOVISSSTE II,395,AVENIDA,ANTARES,NULO,0,NULO,0,NULO,CERRO DEL AJUSCO,CERRO DE LA JOYA,CERRO DEL TEPEYAC,PENETRANTE,NULO,NULO,DINERO,700,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,MOCHILA,NO,NULO,SI,,,,,NULO,,,338,Robo a persona,-102.26087419,21.87232774
63569,,,MARZO,2017-03-16,JUEVES,20,25,PABELLON DE ARTEAGA,URBANA,COLONIA,PROGRESO SUR,96,BOULEVARD,ENRIQUE OLIVARES SANTANA,NULO,0,NULO,0,NULO,VID,NICOLAS ESPARZA SUSTAITA,FRANCISCO VIDAL RODRIGUEZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,,,,,NULO,,,339,Robo a persona,-102.28703324,22.14675705
63271,,,MARZO,2017-03-16,JUEVES,12,41,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LIBERTAD,695,CALLE,PLAN DE LA PROFESA,NULO,0,NULO,0,NULO,GENERAL PANFILO NATERA,PAULINO N MARTI,PUENTE DE CALDERON,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,ITALIKA NEGRA,NO,,,,,NULO,,,340,Robo a persona,-102.27912131,21.92943054
63384,,,MARZO,2017-03-16,JUEVES,16,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SANTA ANITA (DELEGACION JESUS TERAN),482,AVENIDA,NAZARIO ORTIZ GARZA,NULO,0,NULO,0,NULO,FRAY LUIS DE LEON,LUIS COLOMA,VICTOR HUGO,PENETRANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,341,Robo a persona,-102.27573491,21.89803278
63555,,,MARZO,2017-03-16,JUEVES,20,17,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,GOMEZ (DELEGACION POCITOS),663,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,PRIMAVERA,COLIMA,26 DE MARZO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,BICICLETA,NO,,,,,NULO,,,342,Robo a persona,-102.31257923,21.88352637
63592,,,MARZO,2017-03-16,JUEVES,20,45,AGUASCALIENTES,URBANA,COLONIA,DEL CARMEN,911,CALLE,ALAMAN,NULO,404,NULO,0,NULO,DEL CARMEN,LA LUZ,DEL CARMEN,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,343,Robo a persona,-102.30468624,21.88906572
63669,,,MARZO,2017-03-16,JUEVES,21,57,AGUASCALIENTES,URBANA,SIN TIPO,BARRANCA DE GUADALUPE (SUBDIVISION),732,AVENIDA,AGUASCALIENTES PONIENTE,NULO,0,NULO,0,NULO,ALAMO,SAN MARCOS,CADIZ,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,344,Robo a persona,-102.31797120,21.86760566
63701,,,MARZO,2017-03-16,JUEVES,22,24,AGUASCALIENTES,URBANA,COLONIA,MARTINEZ DOMINGUEZ,1099,AVENIDA,MAHATMA GANDHI,NULO,0,NULO,0,NULO,DEL ZENZONTLE,VALENTE QUINTANA,SARGENTO RAMON AZCONA,CORTANTE,NULO,NULO,DINERO,1050,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,345,Robo a persona,-102.29430856,21.85216606
62196,,,MARZO,2017-03-15,MIERCOLES,1,41,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,DEL VALLE 1A SECCION,734,AVENIDA,AGUASCALIENTES PONIENTE,NULO,0,NULO,0,NULO,ROMA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,ROMA,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,NO,NULO,SI,,,,,NULO,,,346,Robo a persona,-102.31830262,21.87196192
61819,,,MARZO,2017-03-14,MARTES,16,11,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA DE MONTES,NULO,232,NULO,0,NULO,CULTURA OTOMI,CELESTINO LOPEZ SANCHEZ,VILLA CONSTITUCION,NULO,NULO,NULO,DINERO,0,NULO,NULO,NULO,MONEDER,NULO,NULO,NULO,NULO,NULO,NULO,NO,MOTOCICLETA,NO,,,,,NULO,,,347,Robo a persona,-102.24566872,21.92658985
65522,,,MARZO,2017-03-18,SABADO,23,24,AGUASCALIENTES,URBANA,SIN TIPO,MOTEL MOA (A UN COSTADO DE LA COL LA SOLEDAD),731,AVENIDA,LICENCIADO ADOLFO RUIZ CORTINEZ PONIENTE,NULO,0,NULO,0,NULO,CIHUATLAN,NINGUNO,NINGUNO,SIN DATOS,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,SI,NULO,SI,,,,,NULO,,,348,Robo a persona,-102.32876571,21.87275562
65024,,,MARZO,2017-03-18,SABADO,14,6,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LA ESTANCIA,1090,CALLE,MAYOR PABLO GARCIA,NULO,410,NULO,0,NULO,AMANECER,CANARIO,PALOMA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,349,Robo a persona,-102.29852347,21.84169122
68101,,,MARZO,2017-03-21,MARTES,17,10,JESUS MARIA,URBANA,FRACCIONAMIENTO,SOLAR DE JONACATIQUE,205,AVENIDA,SOLIDARIDAD,NULO,0,NULO,0,NULO,NINGUNO,MARCOS DE SAUCEDO,AMADO NERVO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,350,Robo a persona,-102.35396148,21.97272907
64418,,,MARZO,2017-03-17,VIERNES,20,41,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,LOS VOLCANES,592,AVENIDA,PASEO DE LA CRUZ,NULO,0,NULO,0,NULO,POPOCATEPETL,IZTACCIHUATL,CITLALTEPEC,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,351,Robo a persona,-102.26949348,21.87377312
64532,,,MARZO,2017-03-17,VIERNES,23,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,MIGUEL ANGEL BARBERENA VEGA,PROSPERIDAD,PILARES,CORTANTE,NULO,NULO,DINERO,300,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,BICICLETA,SI,,,,,NULO,,,352,Robo a persona,-102.25322410,21.89691578
65127,,,MARZO,2017-03-18,SABADO,16,31,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BENITO PALOMINO DENA,499,BOULEVARD,GUADALUPANO,NULO,0,NULO,0,NULO,PEDRO RIVAS CUELLAR,LICENCIADO MIGUEL ROMO MAEDINA,TENIENTE CORONEL ROBERTO JEFKINS RANGEL,NULO,NULO,NULO,DINERO,200,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,CARIBE NEGRA,NO,,,,,NULO,,,353,Robo a persona,-102.24669748,21.91595194
65482,,,MARZO,2017-03-18,SABADO,22,45,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,ARQUITECTO CARLOS CONTRERAS,NULO,110,NULO,0,NULO,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,RICARDO GARCIA MENDOZA,DOCTOR JESUS ROMO ARMERIA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,354,Robo a persona,-102.32029533,21.85618669
65604,,,MARZO,2017-03-19,DOMINGO,0,29,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,TENIENTE CORONEL MACARIO SARABIA,NULO,0,NULO,0,NULO,JOSE MARIA GONZALEZ BOCANEGRA,RICARDO GARCIA MENDOZA,CORONEL JOSE FERRERO,CONTUNDENTE,NULO,NULO,DINERO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,355,Robo a persona,-102.32471317,21.85449097
67175,,,MARZO,2017-03-20,LUNES,14,40,AGUASCALIENTES,URBANA,SIN TIPO,AURRERA GUADALUPE (DESARROLLO SIN DELIMITACION OFICIAL NO 80),924,AVENIDA,CONVENCION DE 1914 PONIENTE,NULO,0,NULO,0,NULO,ARROYO DE LOS ARELLANO,GUADALUPE,FELIPE ANGELES,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,BICICLETA,SI,,,,,NULO,,,356,Robo a persona,-102.31199155,21.88581273
67257,,,MARZO,2017-03-20,LUNES,16,52,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,DE LOS MAESTROS,NULO,0,NULO,0,NULO,GENERAL MACLOVIO HERRERA,CONVENCION,DOCTOR FRANCISCO VAZQUEZ,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,357,Robo a persona,-102.31728558,21.85367541
67322,,,MARZO,2017-03-20,LUNES,18,24,AGUASCALIENTES,URBANA,COLONIA,FATIMA,1119,CALLE,VALLE DE GUADALUPE,NULO,0,NULO,0,NULO,LAGOS DE MORENO,SAN JOSE DE LOS REYNOSO,GENERAL IGNACIO ZARAGOZA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA,NO,,,,,NULO,,,358,Robo a persona,-102.30564428,21.91283992
67713,,,MARZO,2017-03-21,MARTES,1,26,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL Y RESIDENCIAL ALTARIA,358,BOULEVARD,A ZACATECAS,NULO,0,NULO,0,NULO,NINGUNO,AGUASCALIENTES NORTE,ARTICULO PRIMERO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,359,Robo a persona,-102.28942490,21.92478018
68043,240,78,MARZO,2017-03-21,MARTES,15,37,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,NULO,225,NULO,0,NULO,GENERAL VICENTE GUERRERO SUR,GALEANA SUR,RAYON,CORTANTE,NULO,NULO,DINERO,200,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,360,Robo a persona,-102.29811160,21.87800675
68082,,,MARZO,2017-03-21,MARTES,16,47,AGUASCALIENTES,URBANA,EJIDO,SALTO DE OJOCALIENTE,580,PRIVADA,JOSEFA ORTIZ DE DOMINGUEZ,NULO,218,NULO,0,NULO,GUADALUPE VICTORIA,CASCAN,20 DE NOVIEMBRE,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,361,Robo a persona,-102.25121371,21.86676522
68187,,,MARZO,2017-03-21,MARTES,19,36,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR GUADALUPE),402,CALLE,ALONSO DE ALARCON,NULO,301,NULO,0,NULO,ROGELIO GALINDO DE LA TORRE,POLIDUCTO,CRISTOBAL DE TORRES,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA ROJA AZU,NO,,,,,NULO,,,362,Robo a persona,-102.25922745,21.92893966
64333,,,MARZO,2017-03-17,VIERNES,18,23,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,JUANA DE ARCO,NULO,0,NULO,0,NULO,LUISA FERNANDEZ VILLA,DE LA INFANTERIA,AVENIDA MARIANO HIDALGO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,CARIBE NEGRA,NO,,,,,NULO,,,363,Robo a persona,-102.25027616,21.84859269
65498,0,0,MARZO,2017-03-18,SABADO,22,59,JESUS MARIA,RURAL,FRACCIONAMIENTO,LA LOMA VALLADOLID,181-P,CALLE,SAUCES,NULO,100,NULO,0,NULO,PARAISO,NARANJOS,PALMAS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,0,,0,,NULO,,,364,Robo a persona,-102.30962812,22.01301773
68680,,,MARZO,2017-03-22,MIERCOLES,14,35,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO SIN DELIMITACION OFICIAL NO 24 (VILLA JARDIN),727,BOULEVARD,JOSE MARIA CHAVEZ,NULO,1429,NULO,0,NULO,AGUASCALIENTES SUR,CONVENCION DE 1914 SUR,MAHATMA GANDHI,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,365,Robo a persona,-102.29366654,21.85937465
68982,,,MARZO,2017-03-22,MIERCOLES,21,19,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CALLE,MELCHOR OCAMPO 224,NULO,102,NULO,0,NULO,CONDELL,GENERAL IGNACIO ZARAGOZA,GUZMAN,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,366,Robo a persona,-102.29503087,21.88658982
69625,,,MARZO,2017-03-23,JUEVES,17,49,AGUASCALIENTES,URBANA,COMUNIDAD,ARELLANO,1-P,CARRETERA,LEON -AAGUASCALIENTES,NULO,0,NULO,0,NULO,77,NINGUNO,NINGUNO,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,MOCHILA,SI,NULO,SI,,,,,NULO,,,367,Robo a persona,-102.28275698,21.79827877
72069,,,MARZO,2017-03-26,DOMINGO,1,6,AGUASCALIENTES,RURAL,COMUNIDAD,COTORINA (COYOTES),53-P,CARRETERA,69 ESTATAL,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,NULO,NULO,DINERO,2000,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,TARJETAS CREDITO,NO,MITSUBISHI BLANCO,SI,,,,,NULO,,,368,Robo a persona,-102.22515865,21.75969049
70501,,,MARZO,2017-03-24,VIERNES,17,50,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO SIN DELIMITACION OFICIAL 130 (CENTRAL DE ABASTOS),978,BOULEVARD,JOSE MARIA CHAVEZ,NULO,0,NULO,0,NULO,DEL ABASTO,SIGLO XXI,MAHATMA GANDHI,CONTUNDENTE,NULO,NULO,DINERO,700,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,369,Robo a persona,-102.29026710,21.83473208
70554,,,MARZO,2017-03-24,VIERNES,19,4,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PILAR BLANCO,981,CALLE,CANARIO,NULO,0,NULO,0,NULO,ANDADOR DE LAS GAVIOTAS,PASEO DEL TUCAN,DOMINICO,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,370,Robo a persona,-102.29963459,21.84812194
70716,,,MARZO,2017-03-24,VIERNES,21,41,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,CAPITAN GUSTAVO CARMENDIA,NULO,332,NULO,0,NULO,ABRAHAM GONZALEZ,GENERAL LUIS MOYA,GENERAL FEDERICO MONTES,FUEGO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,371,Robo a persona,-102.31355173,21.84955407
70720,,,MARZO,2017-03-24,VIERNES,21,43,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,TROJES DEL COBANO,517,CALLE,TAMARINDO,NULO,0,NULO,0,NULO,PARRAS,LAGO AZUL,MOSCATEL,FUEGO,NULO,NULO,DINERO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,372,Robo a persona,-102.27979742,21.91017129
70740,,,MARZO,2017-03-24,VIERNES,21,59,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS I,1120,CALLE,HERMANOS GALEANA,NULO,0,NULO,0,NULO,SIGLO XXI,JEFES INSURGENTES,CORREGIDORA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,BICICLETA,NO,,,,,NULO,,,373,Robo a persona,-102.26343838,21.85380073
70932,,,MARZO,2017-03-25,SABADO,0,44,JESUS MARIA,URBANA,FRACCIONAMIENTO,SOLIDARIDAD,169,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,NULO,0,NULO,0,NULO,LEONA VICARIO,CHICAHUALES,JUAN DE LUNA LOERA,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA NEGRA,SI,,,,,NULO,,,374,Robo a persona,-102.34788940,21.95348376
73920,,,MARZO,2017-03-27,LUNES,19,1,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL LUIS CABALLERO,NULO,125,NULO,0,NULO,INGENIERO CAMILO ARRIAGA,GENERAL MARTIN ESPINOZA SANCHEZ,LUIS MEDINA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,,,,,NULO,,,375,Robo a persona,-102.31564588,21.84890103
74041,,,MARZO,2017-03-27,LUNES,21,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,BELISARIO DOMINGUEZ,NULO,0,NULO,0,NULO,DOROTEO ARANGO,DOCTOR MARIANO AZUELA,SERAPIO RENDON,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,,,,,NULO,,,376,Robo a persona,-102.30697374,21.85288191
74196,,,MARZO,2017-03-28,MARTES,0,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SOLIDARIDAD II,579,CALLE,ATOTONITLAN,NULO,0,NULO,0,NULO,SIGLO XXI,PAPALOTL,CERRO DEL MIXTON,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,377,Robo a persona,-102.24737672,21.86344590
71052,,,MARZO,2017-03-25,SABADO,3,29,AGUASCALIENTES,URBANA,BARRIO,EL ENCINO,1096,CALLE,DOCTOR JESUS DIAZ DE LEON,NULO,0,NULO,0,NULO,ABASOLO,MIER Y PESADO,ALFONSO RAMIREZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,378,Robo a persona,-102.29217712,21.87400430
71875,,,MARZO,2017-03-25,SABADO,23,26,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PILAR BLANCO,981,AVENIDA,FAISAN,NULO,3602,NULO,0,NULO,PASEO DE TONATHIU,PARQUE DE LOS NOGALES NORTE,PARQUE DE LOS NARANJOS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,379,Robo a persona,-102.29722847,21.84733665
73290,,,MARZO,2017-03-27,LUNES,0,41,AGUASCALIENTES,URBANA,COLONIA,MIRAVALLE,750,CALLE,CARLOS BARRON,NULO,0,NULO,0,NULO,PEDRO GARCIA ROJAS,AURELIO GONZALEZ,FRANCISCO FLORES,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,380,Robo a persona,-102.30943035,21.89121726
