FOLIO,NUM_REP,NUM_OP,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,TIPO_ARMA,ARMA_2,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CAR_MON,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,LESIONADO,VEH_SOSP,C_VIOL,MONTO,PROCESO,DETENIDO,FIL_SOSP,PR_FERIA,TRASL_HOSP,DESTAC_SEG,OID,INCIDENTE,LONG,LAT
247136,814,38,SEPTIEMBRE,2017-09-29,VIERNES,6,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,BOULEVARD,GUADALUPANO,NULO,0,NULO,0,NULO,CUMBRES,SIGLO XXI,MANUEL GARCIA MARTINEZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,0,UN SUJETO CHAMARRA NEGRA Y GORRA,NULO,NULO,TERAN NORTE,1331,Robo a persona,-102.25643295,21.90714679
246372,812,84,SEPTIEMBRE,2017-09-28,JUEVES,12,23,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BAJIO DE LAS PALMAS,533,CALLE,PALMA MEXICANA,NULO,0,NULO,0,NULO,IXTLAHUATL,PALMA DATILERA,PALMA ABANICO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA,NO,3000,NULO,0,DOS SUJETOS UNO PLAYERA BLANCA PERCUDIDA OTRO GORRA GRIS CON NEGRO AMBOS SON GOR,NULO,NULO,MORELOS,1332,Robo a persona,-102.24069182,21.86325267
246535,813,82,SEPTIEMBRE,2017-09-28,JUEVES,16,11,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SOL NACIENTE,725,CALLE,JOSE GUERRA PALOS,NULO,831,D,0,NULO,SENDAL,LECHUGUILLA,FUKUOKA,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,SI,NULO,SI,0,NULO,0,NULO,NULO,NO AMERITO,TERAN SUR,1333,Robo a persona,-102.22944221,21.87294830
246614,813,76,SEPTIEMBRE,2017-09-28,JUEVES,18,2,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,AMALIA GOMEZ ZEPEDA,NULO,0,NULO,0,NULO,DEL REY,CORRECTORES,MARIANO HIDALGO,NULO,NULO,NULO,DINERO,1000,NULO,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,1000,NULO,0,DOS SUJETOS PLAYERA AZUL CON EL NUMERO 34 OTRO CHAMARRA BLANCA Y GRIS,NULO,NULO,MORELOS,1334,Robo a persona,-102.25033481,21.85158407
246834,813,88,SEPTIEMBRE,2017-09-28,JUEVES,22,7,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,COLINAS DE ORIENTE,460,CALLE,INDONESIA,NULO,0,NULO,0,NULO,HIGUERA,GOBERNANTES,TAILANDIA,CONTUNDENTE,NULO,NULO,DINERO,300,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,SIN DATOS,SI,NULO,NO,300,NULO,0,NULO,NULO,POR SUS MEDIOS,TERAN SUR,1335,Robo a persona,-102.26075439,21.89853808
246840,813,76,SEPTIEMBRE,2017-09-28,JUEVES,21,40,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,AVENIDA,POLIDUCTO,NULO,0,NULO,0,NULO,AJEDRECISTAS,VILLA DEL REY,DE LA ESTRATEGIA,CORTANTE,CONTUNDENTE,NULO,DINERO,900,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,DOCUMENTOS,NO,MOTOCICLETAS ROJAS,SI,6000,NULO,0,DOS SUJETOS CASCO NEGRO CAMISA BLANCA PANTALON CAFE OTRO CASCO NEGRO PASAMONTAÐA,NULO,NULO,MORELOS,1336,Robo a persona,-102.25471631,21.84631473
246856,813,82,SEPTIEMBRE,2017-09-28,JUEVES,22,25,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS BRISAS,677,CALLE,MAR CASPIO,NULO,0,310,0,NULO,PEDRO GARCIA ROJAS,JOSE MARIA ELIZALDE,MAR DEL NORTE,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,0,NULO,0,DOS SUJETOS,NULO,NULO,POCITOS,1337,Robo a persona,-102.31506581,21.89624375
247041,814,89,SEPTIEMBRE,2017-09-29,VIERNES,1,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MORELOS I,1120,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,30 DE JULIO,MEXICO LIBRE,JEFES INSURGENTES,CORTANTE,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,2000,NULO,0,UN SUJETO CAMISA NEGRA CON RYAS VERDES PANTALON MEZCLILLA TENIS NEGROS,NULO,NULO,MORELOS,1338,Robo a persona,-102.26639032,21.85301479
248103,817,56,SEPTIEMBRE,2017-09-30,SABADO,1,9,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL FEDERICO MONTES,NULO,114,NULO,0,NULO,DOCTOR MARIANO AZUELA,CONVENCION,PEDRO ANTONIO SANTOS,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,SI,NULO,SI,0,NULO,0,NULO,NULO,SE NEGO,INSURGENTES,1339,Robo a persona,-102.31142376,21.85289415
247989,817,63,SEPTIEMBRE,2017-09-29,VIERNES,23,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SANTA ANITA 4A SECCION,465,AVENIDA,AGUASCALIENTES ORIENTE,NULO,0,NULO,0,NULO,NAZARIO ORTIZ GARZA,GABRIELA MISTRAL,CALLE DE LOS REYES,GAS PIMIENTA,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,MOCHILA,SI,NULO,SI,0,NULO,0,NULO,NULO,LLAMADA VALORADA,TERAN SUR,1340,Robo a persona,-102.27044641,21.90246467
247982,817,76,SEPTIEMBRE,2017-09-29,VIERNES,23,27,AGUASCALIENTES,URBANA,SIN TIPO,TEATRO AGUASCALIENTES,945,AVENIDA,AGUASCALIENTES SUR,NULO,0,NULO,0,NULO,DEL PARQUE,JOSE MARIA CHAVEZ,SIGLO XXI,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,9000,NULO,0,DOS SUJETOS ASPECTO CHOLO Y DELGADOS SUDADERA BCA CON NEGRO JEANS Y GORRA,NULO,NULO,MORELOS,1341,Robo a persona,-102.29104953,21.85810289
247772,816,53,SEPTIEMBRE,2017-09-29,VIERNES,20,58,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS AMERICAS (DELEGACION CENTRO),1114,AVENIDA,CONVENCION DE 1914 SUR,NULO,0,NULO,0,NULO,REPUBLICA DE CHILE,REPUBLICA DE BRASIL,REPUBLICA DE PANAMA,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,1500,NULO,0,UN SUJETO,NULO,NULO,INSURGENTES,1342,Robo a persona,-102.29969472,21.86639538
247683,816,93,SEPTIEMBRE,2017-09-29,VIERNES,20,9,AGUASCALIENTES,URBANA,COLONIA,OLIVARES SANTANA,721,AVENIDA,FUNDICION,NULO,0,NULO,0,NULO,SAN BARTOLO,MAR CASPIO,MAR BALTICO,NULO,NULO,NULO,DINERO,4000,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,4000,NULO,0,NULO,NULO,NULO,POCITOS,1343,Robo a persona,-102.31234434,21.89696944
247545,816,74,SEPTIEMBRE,2017-09-29,VIERNES,17,21,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,LONOTIPISTAS,NULO,0,NULO,0,NULO,EDITORIALISTAS,POLIDUCTO,MARIANO HIDALGO,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,0,NULO,0,UN SUJETO GORRA ROJA CAMISA CUADRADA NEGRA PANTALON MEZCLILLA,NULO,NULO,MORELOS,1344,Robo a persona,-102.25234085,21.85211265
247540,816,37,SEPTIEMBRE,2017-09-29,VIERNES,17,23,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,CAPITAN GUSTAVO CARMENDIA,NULO,0,NULO,0,NULO,ABRAHAM GONZALEZ,CONVENCION,GENERAL MARTIN ESPINOZA SANCHEZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,NO,0,NULO,0,NULO,NULO,NULO,INSURGENTES,1345,Robo a persona,-102.31293439,21.85106199
247473,816,37,SEPTIEMBRE,2017-09-29,VIERNES,12,57,CALVILLO,URBANA,COLONIA,LOS ANGELES,287,CALLE,REVOLUCION,NULO,318,NULO,0,NULO,REFORMA,AJUSCO,GUADALUPE PERALTA,NULO,NULO,NULO,DINERO,0,NULO,NULO,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,0,UN SUJETO 23 AÐOS MORENO,NULO,NULO,CALVILLO,1346,Robo a persona,-102.72486676,21.84132140
250101,822,67,OCTUBRE,2017-10-01,DOMINGO,15,17,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,LAZARO CARDENAS (III),605,AVENIDA,FERROCARRIL,NULO,0,NULO,0,NULO,PASEO DE LA CRUZ,COMUNICACIONES Y TRANSPORTES,MARIANO ESCOBEDO,NULO,NULO,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,1,NULO,NULO,NULO,MORELOS,1347,Robo a persona,-102.27804587,21.87339225
248174,817,88,SEPTIEMBRE,2017-09-30,SABADO,2,17,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,CALLE,ANTONIA LOPEZ DE CHAVEZ,NULO,139,NULO,0,NULO,DESIDERIO MACIAS SILVA,JOSE MANUEL RUIZ DE TEJADA,TECNOLOGICO,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,0,NULO,0,DOS SUJETOS,NULO,NULO,TERAN SUR,1348,Robo a persona,-102.23992666,21.86690701
248190,817,82,SEPTIEMBRE,2017-09-30,SABADO,2,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DEL OESTE,1011,CALLE,EMILIO FERNANDEZ,NULO,0,NULO,0,NULO,PASEO DE LA ASUNCION,CARLOS LOPEZ MOCTEZUMA,PEDRO ARMENDARIZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,NO,NULO,NO,0,NULO,0,NULO,NULO,NULO,INSURGENTES,1349,Robo a persona,-102.30179887,21.84354245
248323,817,76,SEPTIEMBRE,2017-09-30,SABADO,5,34,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,VIAS,FERROCARRIL,NULO,0,NULO,0,NULO,CAROLINA VILLANUEVA DE GARCIA,SIGLO XXI,JULIO DIAZ TORRE,FUEGO,CORTANTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,SI,1200,NULO,0,UN SUJETO DELGADO CHAMARRA AZUL MARINO,NULO,NULO,MORELOS,1350,Robo a persona,-102.27732816,21.84558326
