FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,TIPO_ROBO,LON,OID,LONG,LAT
211084626,30421,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,PILAR BLANCO,981,CALLE,CANARIO,0,NA,",,,",ANDADOR,PASEO DEL CONDOR,2,19,33,0,false,true,"1,3",NA,NA,0,NA,0,2 HOMBRES,ND,0,1,false,N,N,"3,12",0,0,false,1,57,1,TRANSEUNTE,-102.29960000,1315,-102.29960826,21.85324387
211085170,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,FRACCIONAMIENTO,MORELOS I,1120,CALLE,22 DE DICIEMBRE,0,NA,",,,",AVENIDA,SIGLO XXI,5,21,33,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,"28,29",500,500,false,1,1,1,TRANSEUNTE,-102.25880000,1316,-102.25883163,21.85497309
211086042,30421,ROBO TRANSEUNTE,9,2021-07-13,37,1,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,442,CALLE,CULTURA OTOMI 408,0,NA,"13,,,",CALLE,CULTURA CHICHIMECA,3,1,5,0,false,true,1,NA,NA,0,NA,0,4 HOMBRES,ND,0,0,false,N,N,3,0,3500,false,1,1,1,TRANSEUNTE,-102.24710000,1317,-102.24716167,21.90959918
211086480,30421,ROBO TRANSEUNTE,9,2021-07-13,37,1,1,COLONIA,ZONA CENTRO,906,PROVADA,MESONES,0,NA,",,,",CALLE,BENJAMIN DE LA MORA,1,3,36,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,3,0,0,false,1,1,1,TRANSEUNTE,-102.29820000,1318,-102.29821520,21.88674658
211087594,30421,ROBO TRANSEUNTE,9,2021-09-13,37,1,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,AVENIDA,POLIDUCTO,0,NA,",,,",AVENIDA,RODOLFO LANDEROS GALLEGOS,4,12,32,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE 1 MUJER,ND,0,0,false,N,N,3,0,0,false,1,2,1,TRANSEUNTE,-102.24840000,1319,-102.24844127,21.90330867
211089340,30421,ROBO TRANSEUNTE,9,2021-09-13,37,1,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,AVENIDA,SIGLO XXI,0,NA,",,,",BOULEVARD,GUADALUPANO,3,19,53,0,false,true,"1,3",NA,NA,0,NA,0,ND,ND,0,0,false,N,N,3,0,0,false,1,57,1,TRANSEUNTE,-102.25660000,1320,-102.25661425,21.90675443
211089417,30421,ROBO TRANSEUNTE,9,2021-09-13,37,1,1,FRACCIONAMIENTO,PROGRESO,450,CALLE,GENERAL LAZARO CARDENAS,0,NA,",,,",AVENIDA,SIGLO XXI,3,20,9,0,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,N,N,"3,29,31,38",0,0,false,1,2,1,TRANSEUNTE,-102.25800000,1321,-102.25803514,21.90798631
211090203,30422,ROBO TRANSEUNTE,9,2021-09-13,37,1,1,FRACCIONAMIENTO,BOULEVARES 1A SECCION,1047,AVENIDA,PROFESOR ENRIQUE OLIVARES SANTANA,0,NA,",,,",AVENIDA,AGUASCALIENTES SUR,2,23,40,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,BICICLETA,BICICLETA,27,0,0,false,1,6,1,OPORTUNISTA,-102.30540000,1322,-102.30547847,21.85896720
211082307,30422,ROBO TRANSEUNTE,9,2021-09-12,36,7,1,CC,CC AGROPECUARIO,763,BOULEVARD,A ZACATECAS,0,NA,",,,",CALLE,COMERCIO,6,10,20,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE 2 MUJERES CON ACENTO EXTRANJERO EL HOMBRE EDAD APROX 28 AÑOS COMPLEXION ROBUSTO CABELLO CORTO UNO DE LAS MUJERE,ND,3,0,false,COCHE,NISSAN VERSA COLOR PLATA CON PLACAS PAA1133,40,0,0,false,1,4,1,TRANSEUNTE,-102.29230000,1323,-102.29231214,21.91253645
211093095,30422,ROBO TRANSEUNTE,9,2021-09-14,37,2,1,FRACCIONAMIENTO,BULEVAR,733,BOULEVARD,JOSE MARIA CHAVEZ,0,NA,",,,",CALLE,HERNNA GONZALEZ,5,19,0,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,N,N,40,0,0,false,1,1,2,TRANSEUNTE,-102.29460000,1324,-102.29461637,21.86860371
