FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,DESTACAMEN,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,RECUPERADO,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,FERIA,INCIDENTE,LONG,LAT
340194,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SAN PATRICIO,0,112,NULO,0,NULO,POLIDUCTO,CULTURA OTOMI,SAN MARCOS,TERAN SUR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4362,,Robo a casa habitación,-102.24642724,21.89826155
340206,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,RURAL,FRACCIONAMIENTO,PASEO DE LOS CACTUS,479R,CALLE,FRAILEA,0,120,NULO,0,NULO,ELOISA BARBOSA CHAVEZ,FRAILEA,ESCOBARIA,TERAN SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,4363,,Robo a casa habitación,-102.23396814,21.87534246
340226,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,RURAL,COMUNIDAD,ARELLANO,1P,CALLE,FRANCISCO VILLA,0,114,NULO,0,NULO,BENITO JUAREZ,OTTO GRANADOS ROLDAN,LUIS DONALDO COLOSIO,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4364,,Robo a casa habitación,-102.27391754,21.79929144
340276,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,494,AVENIDA,CULTURA MAYA,0,418,NULO,0,NULO,LOMA DEL CARDENAL,CULTURA NAZCA,CULTURA NAZCA 404,TERAN NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4365,,Robo a casa habitación,-102.24256562,21.91227115
340294,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INF MORELOS,616,CALLE,UXMAL,0,106,NULO,0,NULO,AGUASCALIENTES SUR,HUNUCMA,CHACMULTUN,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4366,,Robo a casa habitación,-102.25710695,21.86023887
340317,DICIEMBRE,2017-12-25,LUNES,SAN FRANCISCO DE LOS ROMO,RURAL,COMUNIDAD,LORETITO (CHARCO DEL TORO),304P,CALLE,ESIQUIO RAMIREZ,0,307,NULO,0,NULO,GUADALUPE VICTORIA,NINGUNO,NINGUNO,SAN FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,CUÑADO,NO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,4367,,Robo a casa habitación,-102.24127075,21.99879135
340327,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,JABONERA,0,238,NULO,0,NULO,LAS AVES,EL BAJIO,PRESIDENTES,TERAN SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15000,4368,,Robo a casa habitación,-102.25623319,21.89729650
340364,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,SAN CAYETANO,1118,CALLE,SAN ANTONIO,0,213,NULO,0,NULO,SAN CLEMENTE,CARLOS SAGREDO,SAN FRANCISCO,POCITOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4369,,Robo a casa habitación,-102.30837665,21.89795161
340475,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LOMA DORADA,696R,CALLE,VILLA DE ROTA,0,124,NULO,0,NULO,CULTURA OTOMI,SIN DATOS,SIN DATOS,TERAN NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4370,,Robo a casa habitación,-102.24594766,21.92330800
340527,DICIEMBRE,2017-12-26,MARTES,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SAN ISIDRO,0,122,NULO,0,NULO,CULTURA OTOMI,POLIDUCTO,RODOLFO LANDEROS GALLEGOS,TERAN SUR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8000,4371,,Robo a casa habitación,-102.24694978,21.90355662
