FOLIO,ID_INC,INCIDENTE,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,SEC_EST,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,ESPACIO,CIERRE_COR,OID,TIPO_ROBO,DET_SPM,MOT_DET,NOM_DET,ORI_DET,LONG,LAT
200982350,30422,ROBO TRANSEUNTE,9,2020-09-24,4,14,56,0,1,COLONIA,ZONA CENTRO,906,CALLE,GENERAL ALVARO OBREGON,0,NA,",,,",CALLE,XOCHITL,CALLE,GENERAL MIGUEL BARRAGAN,CALLE,INDEPENDENCIA DE MEXICO,1,5,false,false,9,NA,NA,0,NA,0,2 HOMBRES UNO DE COMPLEXION DELGADA OTR DE COMPLEXION ROBUSTA,ND,0,0,false,MOTOCICLETA,COLOR NEGRO,false,3,0,7000,1,2,1,1527,TRANSEUNTE,0,N,N,0,-102.28919225,21.88962030
200985004,30422,ROBO TRANSEUNTE,9,2020-09-25,5,13,23,0,6,BARRIOS,CARBONERAS,93,AVENIDA,ALVARO OBREGON,0,NA,"37,A,,",CALLE,LICENCIADO BENITO JUAREZ,CALLE,HEROE DE NACOZARI,NIÑOS,HEROES SUR,7,7,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,"26,28,40",400,400,1,2,1,1528,OPORTUNISTA,0,N,N,,-102.27018260,22.14620713
200978807,30421,ROBO TRANSEUNTE,9,2020-09-23,3,13,55,0,1,FRACCIONAMIENTO,CERRO ALTO,456,ND,ND,0,NA,",,,",ND,ND,ND,ND,ND,ND,5,2,false,true,1,NA,NA,0,NA,0,1 PERSONA,ND,0,0,false,ND,ND,false,3,0,0,1,1,1,1529,TRANSEUNTE,0,N,N,0,-102.26044458,21.91697952
200980445,30421,ROBO TRANSEUNTE,9,2020-09-23,3,21,24,0,5,FRACCIONAMIENTO,JACARANDAS,215,AVENIDA,ALEJANDRO DE LA CRUZ,0,NA,"109,,,",CALLE,AGUAS TERMALES,CALLE,AGUA MARINA,PRIVADA,CIRCUITO AGUA REGIA,7,7,false,true,8,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,BICICLETA,ND,false,3,0,5000,1,1,2,1530,,0,,,,-102.33753587,21.95643966
200981345,30421,ROBO TRANSEUNTE,9,2020-09-24,4,17,56,0,1,FRACCIONAMIENTO,BELLA VISTA,524R,CALLE,BELLA VISTA,0,NA,"512,,,",CALLE,CASIA PONIENTE,AVENIDA,BELLA VISTA,CALLE,CASIA PONIENTE,5,2,false,true,3,NA,NA,0,NA,0,1 HOMBRE 1 MUJER,ND,0,0,false,COCHE,VERSA COLOR GRIS OSCURO,false,"12,28,29",700,700,1,1,2,1531,,0,,,,-102.24205022,21.91747870
200984537,30421,ROBO TRANSEUNTE,9,2020-09-25,4,4,54,0,1,FRACCIONAMIENTO,VNSA SECTOR ESTACION,502,CALLE,JESUS GARCIA CORONA,0,NA,",,,",CALLE,RAFAEL GOMEZ RAMIREZ,AVENIDA,GERONIMO DE LA CUEVA,CALLE,FRANCISCO V TREVIÑO,5,2,false,true,"1,3",NA,NA,0,NA,0,2 HOMBRES 1 MUJER,ND,0,0,false,ND,ND,false,"3,6,12,29,40",0,5600,1,1,1,1532,TRANSEUNTE,0,N,N,0,-102.25617386,21.93673084
200979351,30422,ROBO TRANSEUNTE,9,2020-09-23,3,15,28,0,1,FRACCIONAMIENTO,LOMAS DE ORIENTE 1,453,CALLE,SIERRA DE SAN BERNARDINO,0,NA,"519,,,",CALLE,LOMA DEL NORTE,CALLE,JUAN JOSE ARREOLA,CALLE,LOMA EMPEDRADA,5,2,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,1,0,false,ND,ND,false,"3,29",0,0,1,1,4,1533,TRANSEUNTE,0,N,N,0,-102.25607029,21.91444794
200981866,30421,ROBO TRANSEUNTE,9,2020-09-24,4,12,15,0,1,FRACCIONAMIENTO,VILLAS DE DON ANTONIO,500R,CALLE,PEDRO ANTONIO DE ALARCON,0,NA,",,,",CALLE,ANTONIO CASTROL LEAL,CALLE,ELIAS DE LARA,CALLE,VILLA DEL RIO,5,2,false,true,3,NA,NA,0,NA,0,2 HOMBRES ASPECTO CHOLO CON ARETES EN LOS OIDOS,ND,0,0,false,MOTOCICLETA,ND,false,"3,6,12,31",0,2000,1,1,1,1534,,0,,,,-102.24967562,21.92478185
200985394,30422,ROBO TRANSEUNTE,9,2020-09-25,5,13,4,0,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL JULIAN MEDINA,0,NA,",,,",AVENIDA,DE LOS MAESTROS,CALLE,INGENIERO CAMILO ARRIAGA,CALLE,GENERAL MACLOVIO HERRERA,2,4,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,29,0,0,1,1,2,1535,,0,,,,-102.31891200,21.84901032
200989009,30422,ROBO TRANSEUNTE,9,2020-09-26,6,11,51,0,3,SIN TIPO,ZONA CENTRO,275,CALLE,CRISTOBAL COLON,0,NA,"102,,,",CALLE,IGUALDAD,CALLE,UNION,CALLE,IGNACIO LOPEZ RAYON,7,7,false,false,9,NA,NA,0,NA,0,1 HOMBRE 50 AÑOS APROX,ND,0,0,false,ND,ND,false,3,0,5000,1,2,1,1536,OPORTUNISTA,0,N,N,0,-102.71769410,21.84822773
200994067,30422,ROBO TRANSEUNTE,9,2020-09-27,7,15,39,0,1,FRACCIONAMIENTO,VILLA DE LAS FUENTES,495,AVENIDA,VILLAS DE LAS FUENTES,0,NA,"103,,,",CALLE,VILLAS DE CANCUN,CALLE,VILLAS DE VALLARTA,CALLE,VILLAS DE NUEVO VALLARTA 502,5,2,false,false,9,NA,NA,0,NA,0,ND,ND,0,0,false,ND,ND,false,3,0,2000,1,2,1,1537,OPORTUNISTA,0,N,N,0,-102.23874886,21.91207080
200987119,30421,ROBO TRANSEUNTE,9,2020-09-25,5,21,7,0,1,FRACCIONAMIENTO,NATURA,699,CALLE,FEDERICO MENDEZ,0,NA,",,,",CALLE,AGUSTIN LARA,CALLE,JOSE ALFREDO JIMENEZ,CALLE,PARRAL,5,2,false,true,"1,4",NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,ND,ND,false,"3,28,29",200,200,1,1,1,1538,TRANSEUNTE,0,N,N,0,-102.24909443,21.93009229
200987122,30421,ROBO TRANSEUNTE,9,2020-09-25,5,21,36,0,1,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,AVENIDA,POLIDUCTO,0,NA,",,,",AVENIDA,SALUD,CALLE,DOMITILO ESTRELLA DEL ANGEL,CALLE,JOSE MANUELT RUIZ DE TEJEDA Y OTAL,4,2,false,true,1,NA,NA,0,NA,0,2 HOMBRES,ND,0,0,false,ND,ND,false,3,0,0,1,1,2,1539,TRANSEUNTE,0,N,N,0,-102.24161719,21.86894444
200989531,30421,ROBO TRANSEUNTE,9,2020-09-26,6,14,34,0,11,SIN TIPO,EX VIÑEDOS GUADALUPE,1,AVENIDA,CONSTITUCION,0,NA,",,,",CALLE,VIÑEDOS GUADALUPE,CALLE,ND,CALLE,VIÑEDOS SAN MARCOS,7,7,false,true,3,NA,NA,0,NA,0,3 HOMBRES,ND,0,0,false,TAXI,NISSAN TSURU COLOR BLANCO NUMERO ECONOMICO 3503,false,"14,28,29",3000,3000,1,1,1,1540,,0,,,,-102.27115015,21.95990617
200989637,30421,ROBO TRANSEUNTE,9,2020-09-26,6,15,24,0,1,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA MERCEDEZ,0,NA,",,,",CALLE,VILLA ROSARIO,CALLE,CULTURA OTOMI,CALLE,VILLA DEL CASALE,5,2,true,true,8,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,3,0,0,1,1,1,1541,,0,,,,-102.24565104,21.92412723
200990702,30421,ROBO TRANSEUNTE,9,2020-09-26,6,20,54,0,5,FRACCIONAMIENTO,LA CAÑADA,229,CALLE,BENIGNO CHAVEZ,0,NA,"215,,,",AVENIDA,SOLIDARIDAD,CALLE,INEGI,CALLE,MIGUEL ANGEL BARBERENA VEGA,7,7,false,true,1,NA,NA,0,NA,0,1 HOMBRE,EL GENIO,0,0,false,ND,ND,false,14,0,0,1,1,1,1542,TRANSEUNTE,0,N,N,0,-102.35444721,21.95510529
200991458,30421,ROBO TRANSEUNTE,9,2020-09-27,7,0,8,0,5,SIN TIPO,VISTAS DEL SAUZ,167,CALLE,ROBLE,0,NA,",,,",AVENIDA,ALEJANDRO DE LA CRUZ,CALLE,AVELLANO,CALLE,NOGAL,7,7,false,true,3,NA,NA,0,NA,0,3 HOMBRES,ND,0,0,false,ND,ND,false,"3,31",0,0,1,1,1,1543,TRANSUENTE,0,N,N,0,-102.33905401,21.95323344
200992192,30421,ROBO TRANSEUNTE,9,2020-09-27,7,21,38,0,1,FRACCIONAMIENTO,VNSA SECTOR SAN MARCOS,435,AVENIDA,SIGLO XXI,0,NA,",,,",CALLE,ERMITA DE SAN SEBASTIAN,CALLE,BERNABE DE BALLESTEROS,CALLE,JUAN LOPEZ ELIZALDE,5,2,false,true,4,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,"28,29,38",3500,4400,1,1,1,1544,TRANSEUNTE,0,N,N,0,-102.26328902,21.92492159
