FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
7228,30403,1,2019-01-08,2,5,24,1,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,REPORTEROS,NA,",,,",CALLE,AMALIA GOMEZ ZEPEDA,CALLE,LINOTIPISTAS,AVENIDA,DEL REY,3,true,false,9,H,ND,0,0,N,N,26,22,0,0,true,4,2,AUTOMOVIL,ND,ND,1,7,38,Robo de autopartes y cristalazo,-102.25072554,21.85261288
7324,30411,1,2019-01-08,2,9,35,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,440,CALLE,LA UNION,NA,",,,",CALLE,EL GIGANTE,CALLE,EL PICACHO,CALLE,EL TILDIO,5,false,false,9,"H,H",ND,0,0,N,N,24,24,0,0,false,1,2,AUTOMOVIL,ND,ND,1,2,39,Robo de autopartes y cristalazo,-102.25997092,21.90904857
7741,30411,1,2019-01-08,2,18,56,11,FRACCIONAMIENTO,SANTA BARBARA,2,AVENIDA,SANTA BARBARA,NA,"706,,,",CALLE,NINGUNO,CALLE,NINGUNO,N,N,7,false,false,9,ND,ND,0,0,N,N,27,"22,12,23",0,10000,false,1,3,CAMIONETA,CHEVROLET,SUBURBAN,1,1,40,Robo de autopartes y cristalazo,-102.26256791,22.06342252
7786,30411,1,2019-01-08,2,19,33,1,FRACCIONAMIENTO,LA ESTRELLA,483,AVENIDA,PASEO DE LA SOLIDARIDAD,NA,",,,",CALLE,LIRA,CALLE,VIA LACTEA,CALLE,PRIMERO DE MAYO,5,false,false,9,ND,AUTOLAVADO,0,0,N,N,23,6,0,1500,false,3,2,AUTOMOVIL,VOLKSWAGEN,POINTER,1,2,41,Robo de autopartes y cristalazo,-102.28320318,21.90302770
8179,30411,1,2019-01-09,3,8,36,1,COLONIA,MIRAVALLE,750,CALLE,JOSE MARIA LOPEZ NAVA,NA,"214,,,",AVENIDA,FUNDICION,CALLE,PEDRO GARCIA ROJAS,CALLE,ALEJANDRO R UGARTE,6,false,false,9,ND,ND,0,0,N,N,16,11,0,40000,false,1,2,CAMION,ND,ND,1,1,42,Robo de autopartes y cristalazo,-102.31144229,21.89398944
8880,30411,1,2019-01-09,3,23,41,1,BARRIO,SAN MARCOS,735,CALLE,RINCON,NA,",,,",CALLE,MANUEL M PONCE,CALLE,NINGUNO,CALLE,NINGUNO,1,true,false,9,H,ND,0,0,N,N,24,24,0,0,false,1,2,CAMION,ND,ND,1,2,43,Robo de autopartes y cristalazo,-102.30714755,21.87815766
9614,30411,1,2019-01-10,4,21,57,5,COLONIA,EL TORITO,199,AVENIDA,SOLIDARIDAD,NA,"310,,,",CALLE,15 DE SEPTIEMBRE,CALLE,CRISTOBAL COLON,CALLE,SOR JUANA INES DE LA CRUZ,7,true,false,9,"H,H",LOS PELLEJAS,0,0,N,N,23,22,0,1000,false,1,2,AUTOMOVIL,VOLKSWAGEN,SEDAN,1,1,44,Robo de autopartes y cristalazo,-102.35414839,21.97007793
9836,30411,1,2019-01-11,5,8,8,8,SIN TIPO,SAN JOSE DE GRACIA,46,AVENIDA,JUAN HERNANDEZ LOERA,NA,",,,",CALLE,LICENCIADO LUIS ECHEVERRIA,CALLE,RAFAEL GONZALEZ GUERRA,CALLE,LICENCIADO ADOLFO LOPEZ MATEOS,7,false,false,9,ND,ND,0,0,N,N,16,23,0,11000,false,1,2,CAMIONETA,ND,ND,1,5,45,Robo de autopartes y cristalazo,-102.41306301,22.14579025
10070,30411,1,2019-01-11,5,14,47,1,FRACCIONAMIENTO,VILLA MONTAÑA,502R,CALLE,CELESTINO LOPEZ SANCHEZ,NA,",,,",CALLE,FRANCISCO DE J HERRERA L,CALLE,CONSTITUCIONALISTA,CALLE,MONTE PISSIS,5,false,false,9,ND,ND,0,0,N,N,1,25,0,0,false,2,2,TRAILER,ND,ND,1,1,46,Robo de autopartes y cristalazo,-102.25695416,21.94294689
10247,30411,1,2019-01-11,5,18,8,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR GUADALUPE),402,CALLE,NINGUNO,11,",,,",CALLE,NINGUNO,CALLE,JESUS HERNANDEZ DIAZ,CALLE,NINGUNO,5,true,false,9,ND,ND,0,0,N,N,7,24,0,1600,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,47,Robo de autopartes y cristalazo,-102.25261668,21.92832883
10905,30411,1,2019-01-12,6,12,31,1,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,BOULEVARD,JOSE MARIA CHAVEZ,NA,"2906,,,",AVENIDA,SIGLO XXI,CALLE,JESUS RIVERA FRANCO,CALLE,ALFONSO BERNAL SANTOS C-6N,3,false,false,9,ND,ND,0,0,TAXI,"A3175AAB, NISSAN, TSURU, BLANCO",21,"11,38",0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,SEDAN,1,2,48,Robo de autopartes y cristalazo,-102.29020618,21.84330005
11066,30411,1,2019-01-12,6,15,54,1,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,CALLE,JESUS RIVERA FRANCO,NA,",,,",CALLE,ANGEL DORRONSORO GANDARA,AVENIDA,JULIO DIAZ TORRE C-26N,AVENIDA,SIGLO XXI,3,false,false,9,ND,ND,0,0,N,N,27,"26,12,38",0,7000,false,1,3,TRAILER,ND,ND,1,1,49,Robo de autopartes y cristalazo,-102.28063187,21.84258931
11914,30411,1,2019-01-13,7,7,12,1,CONDOMINIO,OJOCALIENTE INEGI,740,CALLE,LOS ARQUITOS,NA,"112,,,",CALLE,LAS NORIAS,CALLE,LA GUAYANA,CALLE,CIENEGUILLAS,4,false,false,9,H,ND,0,0,BICICLETA,BICICLETA,19,25,0,0,false,2,2,AUTOMOVIL,ND,ND,1,17,50,Robo de autopartes y cristalazo,-102.24979201,21.87447858
12099,30411,1,2019-01-13,7,12,58,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,HERMANOS FLORES MAGON,NA,"228,,,",AVENIDA,CONVENCION,CALLE,ABRAHAM GONZALEZ,CALLE,SERAPIO RENDON,2,false,false,9,ND,ND,0,0,N,N,17,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,51,Robo de autopartes y cristalazo,-102.30709939,21.84983842
12845,30411,1,2019-01-14,1,0,23,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,PEÑUELAS,NA,"525,,,",CALLE,PLAZUELA,CALLE,EL SALTO DE LOS SALADO,CALLE,JALTOMATE,4,false,false,9,ND,ND,0,0,N,N,12,"24,38",0,2000,false,1,2,CAMIONETA,ND,ND,1,1,52,Robo de autopartes y cristalazo,-102.25317604,21.88339738
13088,30411,1,2019-01-14,1,9,49,1,FRACCIONAMIENTO,SAN MARCOS,746,CALLE,PUEBLITO,NA,",,,",CALLE,PASEO DEL RIO,CALLE,MIGUEL ANGEL,CALLE,RAFAEL,6,false,false,9,ND,ND,0,0,N,N,6,"11,38,23,26,12",0,2000,false,1,3,CAMIONETA,CHEVROLET,ND,1,1,53,Robo de autopartes y cristalazo,-102.32327046,21.87838552
12110,30411,1,2019-01-14,1,10,33,1,FRACCIONAMIENTO,GOMEZ (DELEGACION CENTRO),907,CALLE,ESMERALDA,NA,",,,",AVENIDA,GUADALUPE,CALLE,OPALO,CALLE,ASUNCION,6,true,false,9,H,ND,0,0,N,N,20,25,0,0,false,2,2,AUTOMOVIL,ND,ND,1,2,54,Robo de autopartes y cristalazo,-102.31016423,21.88508458
13444,30411,1,2019-01-14,1,18,57,1,RANCHO,CAMPESTRE EL POTRERILLO,52PR,CARRETERA,45 LEON-AGUASCALIENTES,NA,",,,",NA,NA,NA,NA,NA,NA,3,false,false,9,ND,ND,0,0,N,N,27,"26,28,27",5000,15000,false,1,1,AUTOMOVIL,CHEVROLET,AVEO,1,2,55,Robo de autopartes y cristalazo,-102.27962804,21.77967084
13445,30411,1,2019-01-14,1,18,57,1,SIN TIPO,DESARROLLO 58 (FRENTE BASICOS),843,AVENIDA,INDEPENDENCIA,NA,",,,",PRIVADA,HAROLD R PAPE,AVENIDA,AGUASCALIENTES NORTE,BOULEVARD,A ZACATECAS,6,false,false,9,ND,ND,0,0,N,N,27,26,0,65000,false,1,1,CAMIONETA,HONDA,ODYSSEY,1,1,56,Robo de autopartes y cristalazo,-102.29713550,21.91606079
13648,30411,1,2019-01-14,1,22,13,6,RANCHO,LOS LOPEZ (RANCHO),221P,CARRETERA,45 AGUASCALIENTES-ZACATECAS,NA,",,,",NA,NA,NA,NA,NA,NA,7,false,false,9,H,ND,0,0,BICICLETA,BICICLETA,24,3,0,0,false,3,1,CAMIONETA,VOLKSWAGEN,COMBI,1,2,57,Robo de autopartes y cristalazo,-102.28302238,22.12337162
