FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
190741926,30403,7,2019-07-04,4,8,48,5,FRACCIONAMIENTO,JACARANDAS,215,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,NA,",,,",CALLE,AGUA MARINA,PRIVADA,AGUAS MADRES,BOULEVARD,RANCHO SAN PEDRO,7,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,FIAT,ND,1,1,970,Robo de autopartes y cristalazo,-102.33767101,21.95575327
190742039,30411,7,2019-07-04,4,9,28,1,BARRIO,LA SALUD,361,PRIVADA,SEGUNDA LA LUNA,NA,"130,,7,",CALLE,SOLEDAD,CALLE,LA LUNA,PRIVADA,PRIMERA LA LUNA,3,false,false,9,ND,ND,0,0,N,N,27,38,0,12000,false,1,1,AUTOMOVIL,MAZDA,ND,2,13,971,Robo de autopartes y cristalazo,-102.28286182,21.87262218
190742209,30403,7,2019-07-04,4,10,34,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,AVENIDA,SIGLO XXI,NA,",,,",BOULEVARD,GUADALUPANO,CALLE,GENERAL PASCIAL CORNEJO BRUN,CALLE,J MARIO PANI,5,true,true,1,"H,H",EL ALGA,0,0,ND,ND,27,41,0,0,false,4,4,TRAILER,ND,ND,1,2,972,Robo de autopartes y cristalazo,-102.25742122,21.90724763
190743217,30411,7,2019-07-04,4,14,59,1,FRACCIONAMIENTO,CANTERAS DE SAN JOSE,400,CALLE,JUANACATLAN,NA,"106,,,",ANDADOR,PLAZA PRIMERA CONJUNTO TLATENANGO,CALLE,HUANUSCO,CALLE,VILLA HIDALGO,2,false,false,9,ND,ND,0,0,N,N,1,6,0,0,false,1,1,AUTOMOVIL,VOLKSWAGEN,ND,1,1,973,Robo de autopartes y cristalazo,-102.33430987,21.85777933
190749234,30411,7,2019-07-06,6,0,26,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,AVENIDA,SIGLO XXI,NA,",,,",CALLE,MANUEL GARCIA MARTINEZ,BOULEVARD,GUADALUPANO,PRIVADA,GUADALUPE ALVARADO,5,false,false,9,ND,ND,0,0,N,N,25,11,0,0,false,1,2,AUTOMOVIL,ND,ND,1,6,974,Robo de autopartes y cristalazo,-102.25713146,21.90675119
190750571,30403,7,2019-07-06,6,11,44,1,BARRIO,LA SALUD,1122,CALLE,PROLONGACION COSIO,NA,"904,,,",AVENIDA,PASEO DE LA CRUZ,CALLE,ACUEDUCTO,CALLE,SAN MIGUEL,3,false,false,9,ND,ND,0,0,N,N,27,24,0,0,false,4,2,AUTOMOVIL,FORD,FIESTA,1,16,975,Robo de autopartes y cristalazo,-102.28724272,21.87242617
190745901,30403,7,2019-07-05,5,9,32,1,FRACCIONAMIENTO,MORELOS,616,AVENIDA,AGUASCALIENTES SUR,NA,",,,",CALLE,CHICHEN ITZA,CALLE,TULUM,CALLE,ARTILLERO MIER,3,false,false,9,ND,ND,0,0,N,N,6,22,0,0,false,4,2,AUTOMOVIL,NISSAN,TSURU,1,1,976,Robo de autopartes y cristalazo,-102.25530512,21.85993550
190749872,30411,7,2019-07-06,6,7,25,1,FRACCIONAMIENTO,VISTA DEL SOL I,771,CALLE,PUESTA PICACHO,NA,"705,,,",CALLE,CENIT,CALLE,NADIR,CALLE,SOL,3,false,false,9,ND,ND,0,0,N,N,27,"22,24",0,4200,false,1,2,AUTOMOVIL,TOYOTA,ND,1,1,977,Robo de autopartes y cristalazo,-102.27116300,21.86326305
190749896,30403,7,2019-07-06,6,7,43,1,BARRIO,LA SALUD,1122,CALLE,SAN JOAQUIN,NA,"105,A,,",AVENIDA,HEROE DE NACOZARI SUR,CALLE,SAN ATANASIO,CALLE,DELICIAS,3,false,false,9,ND,ND,0,0,N,N,27,"22,24",0,3500,false,4,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,978,Robo de autopartes y cristalazo,-102.28299787,21.87052391
190750221,30411,7,2019-07-06,6,10,3,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL LUIS MOYA,NA,",,,",CALLE,GENERAL MARTIN ESPINOZA SANCHEZ,CALLE,CAPITAN GUSTAVO GARMENDIA,CALLE,ABRAHAM GONZALEZ,2,false,false,9,ND,ND,0,0,N,N,20,24,0,0,false,1,2,CAMIONETA,ND,ND,1,6,979,Robo de autopartes y cristalazo,-102.31418446,21.84956946
190752248,30411,7,2019-07-06,6,20,4,1,FRACCIONAMIENTO,RUSTICOS CALPULLI,1056,AVENIDA,CENTRAL,NA,"201,,,",CALLE,JOSE MARIA ESCRIVA DE BALAGUER,CALLE,DEL GRANERO,CALLE,DEL GRANERO,3,false,false,9,ND,ND,0,0,N,N,27,"3,26,6",0,36000,false,1,1,AUTOMOVIL,HONDA,ACCORD,1,1,980,Robo de autopartes y cristalazo,-102.28186158,21.82863876
190753201,30411,7,2019-07-07,7,0,27,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,BOULEVARD,GUADALUPANO,NA,",,,",AVENIDA,SIGLO XXI,PRIVADA,GUADALUPE ALVARADO,CALLE,MANUEL GARCIA MARTINEZ,5,false,false,9,ND,ND,0,0,N,N,25,24,0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,CHEVY,1,1,981,Robo de autopartes y cristalazo,-102.25720858,21.90679360
190753311,30411,7,2019-07-07,7,1,1,1,FRACCIONAMIENTO,LOS PERICOS,770,CALLE,SANTA RITA,NA,"108,,,",CALLE,POLIDUCTO,AVENIDA,SANTA CECILIA,CALLE,SANTA IRENE,5,false,false,9,ND,ND,0,0,N,N,27,6,0,3000,false,1,1,AUTOMOVIL,VOLKSWAGEN,SEDAN,1,1,982,Robo de autopartes y cristalazo,-102.24954808,21.90841710
190745534,30403,7,2019-07-05,5,6,10,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,CALLE,CUMBRES,NA,",,,",CALLE,PEDRO QUINTANAR,CALLE,NIÑOS HEROES,CALLE,MIAHUATLAN,5,true,true,1,H,ND,0,0,N,N,19,22,0,0,false,4,2,AUTOMOVIL,HONDA,ACCORD,1,2,983,Robo de autopartes y cristalazo,-102.25613490,21.90741083
190747371,30403,7,2019-07-05,5,16,41,1,BARRIO,LA ESTACION,745,CALLE,28 DE AGOSTO,NA,",,,",CALLE,VENTURA SALAZAR,CALLE,DECRETO 27 DE SEPTIEMBREE,AVENIDA,HEROE DE NACOZARI NORTE,1,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,NISSAN,SENTRA,1,6,984,Robo de autopartes y cristalazo,-102.28233467,21.88719370
190752435,30403,7,2019-07-06,6,20,59,1,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DE LA ALIANZA,NA,"341,,,",CALLE,DEL MATE,AVENIDA,DEL REY,CALLE,DEL DEPORTE CIENCIA,3,false,false,9,ND,ND,0,0,N,N,27,"22,24,11",0,20000,false,4,2,AUTOMOVIL,HYUNDAI,ND,1,1,985,Robo de autopartes y cristalazo,-102.25063818,21.84749429
190752530,30403,7,2019-07-06,6,21,18,1,RANCHO,LOS LIRIOS,21PR,CARRETERA,70 AGUASCALIENTES-JALPA,NA,",,,",NA,NA,NA,NA,NA,NA,6,false,false,9,ND,ND,0,0,N,N,14,"3,26,28",1300,4000,false,4,1,AUTOMOVIL,HONDA,ND,1,1,986,Robo de autopartes y cristalazo,-102.34391098,21.87554951
190754581,30411,7,2019-07-07,7,10,13,5,COMUNIDAD,BUENAVISTA,200P,CALLE,ANASTASIO RODRIGUEZ,NA,",,,",NA,NA,NA,NA,NA,NA,7,false,false,9,ND,ND,0,0,N,N,20,"26,11,28",0,0,false,1,1,AUTOMOVIL,CHEVROLET,CORSA,1,2,987,Robo de autopartes y cristalazo,-102.45865454,21.88550103
190755757,30403,7,2019-07-07,7,16,5,1,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,1106,CALLE,REEPUBLICA DE GUATEMALA,NA,"618,,,",CALLE,REPUBLICA DE NICARAGUA,CALLE,REPUBLICA DEL SALVADOR,CALLE,RIO JANEIRO,2,true,false,9,ND,ND,0,0,N,N,22,41,0,0,false,4,4,AUTOMOVIL,ND,ND,1,2,988,Robo de autopartes y cristalazo,-102.30522178,21.86646470
190769768,30411,7,2019-07-10,3,23,51,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,LORETITO,NA,"223,,,",CALLE,CAÑADA GRANDE,CALLE,SAN FRANCISCO DE LOS VIVEROSS,CALLE,SAN PEDRO,3,false,false,9,ND,ND,0,0,N,N,27,37,0,0,false,5,2,AUTOMOVIL,ND,ND,1,4,989,Robo de autopartes y cristalazo,-102.24628298,21.88066353
190760491,30411,7,2019-07-08,1,18,48,1,FRACCIONAMIENTO,LAS BRISAS,677,CALLE,MAR EGEO,NA,"205,,,",CALLE,MAR D ELAS ANTILLAS,CALLE,MAR CARIBE,AVENIDA,FUNDICION,6,false,false,9,H,ND,0,0,BICICLETA,"TRICICLO, BLANCO",22,"26,22",0,0,false,3,3,AUTOMOVIL,ND,ND,1,1,990,Robo de autopartes y cristalazo,-102.31475058,21.89831345
190765927,30403,7,2019-07-10,3,3,53,1,FRACCIONAMIENTO,CUMBRES III,320P,CALLE,BELLA VISTA,NA,"104,,,",CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,5,true,false,9,ND,ND,0,0,N,N,19,41,0,0,false,4,4,AUTOMOVIL,ND,ND,1,2,991,Robo de autopartes y cristalazo,-102.23950668,21.91681224
190769660,30403,7,2019-07-10,3,23,11,1,COLONIA,ZONA CENTRO,906,CALLE,16 DE SEPTIEMBRE,NA,",,,",AVENIDA,LICENCIADOADOLFO LOPEZ MATEOS PONIENTE,CALLE,FRANCISCO G HORNEDO,CALLE,DOCTOR JESUS DIAZ DE LEON,1,false,false,9,ND,ND,0,0,N,N,27,26,0,0,false,4,1,AUTOMOVIL,MAZDA,ND,1,1,992,Robo de autopartes y cristalazo,-102.29189231,21.87925744
190760289,30411,7,2019-07-08,1,17,55,1,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NA,",,,",CALLE,GENERAL FEDERICO MONTES,CALLE,CAPITAN GUSTAVO GARMENDIA,CALLE,ABRAHAM GONZALEZ,2,false,false,9,ND,ND,0,0,N,N,27,26,0,0,false,1,1,CAMIONETA,ND,ND,1,1,993,Robo de autopartes y cristalazo,-102.31197777,21.85215127
190761380,30411,7,2019-07-08,1,22,26,1,BARRIO,DE GUADALUPE,910,CALLE,GOROSTIZA,NA,",,,",CALLE,GENERAL EMILIANO ZAPTA,AVENDIA,GUADALUPE,CALLE,LIBERTAD,1,false,false,9,ND,ND,0,0,N,N,27,24,0,1000,false,1,2,AUTOMOVIL,NISSAN,ND,1,2,994,Robo de autopartes y cristalazo,-102.29944533,21.88217205
190763168,30411,7,2019-07-09,2,12,52,1,FRACCIONAMIENTO,PILAR BLANCO,981,ANDADOR,CALANDRIA,NA,",,,",CALLE,CANARIO,ANDADOR,CALANDRIA,ANDADOR,GORRION,2,false,false,9,ND,ND,0,0,N,N,27,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,2,995,Robo de autopartes y cristalazo,-102.29979969,21.85174124
190765429,30411,7,2019-07-09,2,23,7,1,FRACCIONAMIENTO,LA FUENTE,1061,CALLE,COQUIMBO,NA,"106,,,",AVENIDA,IGNACIO T CHAVEZ,CALLE,QUITO,AVENIDA,LAS AMERICAS,2,false,false,9,ND,ND,0,0,N,N,27,22,0,1000,false,1,2,AUTOMOVIL,RENAULT,ND,1,1,996,Robo de autopartes y cristalazo,-102.30150584,21.87304653
190766267,30411,7,2019-07-09,2,8,44,1,FRACCIONAMIENTO,COLINAS DEL PONIENTE,675,CALLE,GUADALUPE DAVILA GUERRERO,NA,"108,,,",CALLE,RIO LERMA,CALLE,RIO COLORADO,CALLE,RIO GUADIANA,6,false,false,9,ND,ND,0,0,N,N,16,"12,22",0,3000,false,1,3,AUTOMOVIL,CHEVROLET,CORSA,1,1,997,Robo de autopartes y cristalazo,-102.32199392,21.89302936
190767102,30411,7,2019-07-10,3,12,29,1,COLONIA,INDUSTRIAL,919,CALLE,MELQUIADES MORENO,NA,",,,",AVENIDA,CONVENCION DE 1914 NORTE,CALLE,ALFREDO LEWIS,CALLE,PETTROLEOS MEXICANOS,6,false,false,9,ND,ND,0,0,N,N,9,24,0,1500,false,1,2,CAMIONETA,CHRYSLER,VOYAGUER,1,1,998,Robo de autopartes y cristalazo,-102.29479251,21.89975074
190767103,30411,7,2019-07-10,3,12,29,1,COLONIA,INDUSTRIAL,919,CALLE,MELQUIADES MORENO,NA,",,,",AVENIDA,CONVENCION DE 1914 NORTE,CALLE,ALFREDO LEWIS,CALLE,PETROLEOS MEXICANOS,6,false,false,9,ND,ND,0,0,N,N,27,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,999,Robo de autopartes y cristalazo,-102.29478887,21.89972396
190767409,30411,7,2019-07-10,3,13,38,1,COLONIA,INDUSTRIAL,919,CALLE,MELQUIADES MORENO,NA,",,,",AVENIDA,CONVENCION DE 1914 NORTE,CALLE,ALFEDO LEWIS,CALLE,PETROLEOS MEXICANOS,6,false,false,9,ND,ND,0,0,N,N,21,24,0,0,false,1,2,AUTOMOVIL,DODGE,STRATUS,1,1,1000,Robo de autopartes y cristalazo,-102.29480335,21.89978419
190758029,30411,7,2019-07-08,2,2,50,1,FRACCIONAMIENTO,VILLA TERESA,790,AVENIDA,POZO BRAVO,NA,",,,",CALLE,CAPICHINOS,CALLE,OBLATAS,CALLE,SALESIANOS,5,false,false,9,ND,ND,0,0,N,N,25,25,0,0,false,2,2,AUTOMOVIL,ND,ND,1,2,1001,Robo de autopartes y cristalazo,-102.27608069,21.92107915
190762064,30411,7,2019-07-09,2,5,59,1,FRACCIONAMIENTO,JESUS TERAN PEREDO,587,CALLE,GENERAL MANUEL PEREZ TREVIÑO,NA,",,,",CALLE,GENERAL PLUTARCO ELIAS CALLES,AVENIDA,DE LAS PALMAS,CALLE,ANTONIO FEMAT ESPARZA,3,true,false,9,"H,H",ND,0,0,N,N,26,24,0,0,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,2,1002,Robo de autopartes y cristalazo,-102.27485314,21.87017768
190758110,30411,7,2019-07-08,1,4,10,1,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,RIGOBERTA MENCHU,NA,"216,,,",CALLE,JUANA DE ARCO,CALLE,DE LA ALIANZA,CALLE,CATO HANRATH,3,false,false,9,ND,ND,0,0,N,N,15,38,0,0,false,1,1,AUTOMOVIL,DODGE,NEON,1,6,1003,Robo de autopartes y cristalazo,-102.25628793,21.84844303
190770140,30411,7,2019-07-11,4,3,52,5,FRACCIONAMIENTO,SOLAR DE JONACATIQUE,205,AVENIDA,SOLIDARIDAD,NA,"538,,,",CALLE,DOMINGO DE LUNA,CALLE,MARCOS SAUCEDO,CALLE,ALVARO OBREGON,7,false,false,9,ND,ND,0,0,N,N,27,24,0,500,false,1,2,CAMIONETA,GMC,ND,1,1,1004,Robo de autopartes y cristalazo,-102.35369236,21.97287246
190770642,30411,7,2019-07-11,4,10,7,1,COLONIA,SAN PABLO,921,CALLE,GENERAL IGNACIO ZARAGOZA,ND,",,,",CALLE,RIO MORCENIQUE,CALLE,FELIX DE LA PAZ,CALLE,MARINA NACIONAL,6,false,false,9,ND,ND,0,0,N,N,27,"24,26",0,3400,false,1,3,CAMIONETA,DODGE,CARAVAN,1,1,1005,Robo de autopartes y cristalazo,-102.29677168,21.89298238
190770119,30411,7,2019-07-11,4,3,19,1,FRACCIONAMIENTO,VERSALLES II,1071,CALLE,GREGORIO GIACINTI LOPEZ,NA,",,,",CALLE,BELISARIO DOMINGUEZ,CALLE,GENERAL FRANCISCO CARRERA TORRES,CALLE,JOSE ACEVES DIAZ DE SANDI,2,false,false,9,H,ND,0,0,N,N,26,38,0,0,false,2,2,CAMIONETA,CHEVROLET,ND,1,1,1006,Robo de autopartes y cristalazo,-102.30679761,21.85600393
190771372,30403,7,2019-07-11,4,13,33,1,FRACCIONAMIENTO,LAS AMERICAS (DELEGACION INSURGENTES),406,CALLE,REPUBLICA DEL PERU,NA,",,,",CALLE,REPUBLICA DE CHILE,CALLE,REPUBLICA DE BRASIL,CALLE,REPUBLICA DE PARAGUAY,2,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,CAMIONETA,TOYOTA,TACOMA,1,2,1007,Robo de autopartes y cristalazo,-102.30066455,21.86434611
190774464,30403,7,2019-07-12,5,6,44,1,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,GRAVADORES,NA,"111,,,",AVENIDA,DEL REY,CALLE,CARMEN SERDAN,CALLE,RADIODIFUSORES,3,false,false,9,H,ND,0,0,N,N,19,"22,38",0,0,false,4,3,AUTOMOVIL,ND,ND,1,6,1008,Robo de autopartes y cristalazo,-102.24739124,21.85201717
190774496,30411,7,2019-07-12,3,7,17,1,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,RADIODIFUSORES,NA,",,,",AVENIDA,DEL REY,CALLE,ROTATIVAS,CALLE,GRAVADORES,3,false,false,9,ND,ND,0,0,N,N,27,"22,11",0,0,false,3,2,CAMIONETA,ND,ND,1,1,1009,Robo de autopartes y cristalazo,-102.24805423,21.85058078
190774516,30411,7,2019-07-12,5,7,30,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,725,ANDADOR,RECINTO CARDON 104,NA,"73,,,",ANDADOR,RECINTO CARDON 104,ANDADOR,RECINTO CARDON 104,ANDADOR,RECINTO CARODN 104,4,false,false,9,ND,ND,0,0,N,N,18,"22,23,11",0,0,false,1,2,CAMIONETA,ND,ND,1,1,1010,Robo de autopartes y cristalazo,-102.22989217,21.87566251
190775250,30411,7,2019-07-12,5,12,3,1,FRACCIONAMIENTO,SAN CAYETANO,1118,CALLE,SAN JORGE,NA,",,,",AVENIDA,UNIVERSIDAD,CALLE,SAN CLEMENTE,CALLE,SAN COSME,6,false,false,9,ND,ND,0,0,N,N,9,24,0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,1011,Robo de autopartes y cristalazo,-102.30903186,21.90163378
190778664,30411,7,2019-07-13,6,4,40,1,FRACCIONAMIENTO,PILAR BLANCO,981,ANDADOR,PASEO AVE DEL PARAISO,NA,",,,",PROLONGACION,PASEO DE LA ASUNCION,ANDADOR,PASEO AVE DEL PARAISO,ANDADOR,DE LA TORTOLA,2,true,false,9,"H,H",ND,0,0,N,N,26,24,0,0,false,1,2,CAMIONETA,ND,ND,1,1,1012,Robo de autopartes y cristalazo,-102.30072501,21.84605011
190778736,30403,7,2019-07-13,6,5,58,1,FRACCIONAMIENTO,PARRAS,789,CALLE,CARDENAL,NA,"208,,,",CALLE,VIÑEDO,AVENIDA,AGUASCALIENTES ORIENTE,CALLE,MOROCO,5,false,false,9,ND,ND,0,0,N,N,15,22,0,0,false,4,2,AUTOMOVIL,NISSAN,PLATINA,1,1,1013,Robo de autopartes y cristalazo,-102.27776124,21.91326834
190779659,30403,7,2019-07-13,6,12,55,1,EJIDO,SALTO DE OJOCALIENTE,580,CALLE,BENITO JUAREZ,NA,"203,,,",CALLE,IGNACIO ALLENDE,CALLE,GUADALUPE VICTORIA,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,3,false,false,9,ND,ND,0,0,N,N,27,"22,38",0,0,false,4,3,AUTOMOVIL,ND,ND,1,6,1014,Robo de autopartes y cristalazo,-102.25014014,21.86754978
190781726,30411,7,2019-07-13,6,20,48,1,SIN TIPO,CENTRO COMERCIAL CHEDRAUI,1033,BOULEVARD,JOSE MARIA CHAVEZ,NA,",,,",CALLE,VANETE QUINTANA,CALLE,ANGEL GONZALEZ,AVENIDA,MAHATMA GANDHI,2,false,false,9,ND,ND,0,0,N,N,14,"6,38",0,0,false,1,1,AUTOMOVIL,MAZDA,X9,1,1,1015,Robo de autopartes y cristalazo,-102.29320117,21.85496049
190782040,30411,7,2019-07-13,6,22,39,1,COLONIA,SAN LUIS (II),713,CALLE,28 DE AGOSTO,NA,"202,,,",CALLE,NUEVA D ELA PAZ,CALLE,VIRREY DE MENDOZA,CALLE,GRANADITAS,1,false,false,9,ND,ND,0,0,N,N,27,"22,24",0,8000,false,1,2,CAMIONETA,FORD,EXPLORER,1,6,1016,Robo de autopartes y cristalazo,-102.27956152,21.88139739
190782566,30411,7,2019-07-14,7,1,7,1,SIN TIPO,ISLA SAN MARCOS,943,BOULEVARD,SAN MARCOS,NA,",,,",CALLE,NINGUNO,CIRCUITO,INTERIOR SUR,CALLE,NINGUNO,2,false,false,9,ND,ND,0,0,N,N,27,"26,28",10000,10000,false,1,1,AUTOMOVIL,HONDA,ND,2,1,1017,Robo de autopartes y cristalazo,-102.32568478,21.86191870
190783975,30403,7,2019-07-14,7,11,11,1,FRACCIONAMIENTO,ARROYO EL MOLINO,902,AVENIDA,ARROYO DEL MOLINO NORTE,NA,",,,",BOULEVARD,A ZACATECAS,CALLE,NINGUNO,CALLE,NINGUNO,5,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,CAMIONETA,GMC,ND,1,1,1018,Robo de autopartes y cristalazo,-102.29060932,21.93496577
190778466,30403,7,2019-07-13,6,2,37,1,FRACCIONAMIENTO,VILLAS DE LA CANTERA,719,CALLE,DEL CRATER,NA,",,,",AVENIDA,DEL JARDIN,CALLE,DEL FUEGO,CALLE,DE LADERA,2,true,false,9,H,ND,0,0,N,N,27,41,0,0,false,4,4,AUTOMOVIL,ND,ND,1,1,1019,Robo de autopartes y cristalazo,-102.33542013,21.85321601
190761951,30403,7,2019-07-09,2,3,7,1,FRACCIONAMIENTO,EJIDO LAS CUMBRES,403,CALLE,SIERRA DE SAN BERNARDINO,NA,"107,,,",CALLE,CARLOS A AMDRAZO,CALLE,PICACHO ORIENTE,CALLE,SIERRA DE TLAXCO,5,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,AUTOMOVIL,VOLKSWAGEN,JETTA,1,2,1020,Robo de autopartes y cristalazo,-102.25575125,21.90943123
190762603,30411,7,2019-07-09,2,10,27,6,BARRIO,PALO ALTO,92,CALLE,LICENCIADO BENITO JUAREZ,ND,",,,",CALLE,RIO SAN PEDRO,AVENIDA,ALVARO OBREGON,CALLEJON,ANGOSTO,7,true,false,9,ND,ND,0,0,N,N,20,38,0,0,false,1,1,CAMIONETA,NISSAN,ND,1,6,1021,Robo de autopartes y cristalazo,-102.26897022,22.14601649
190760292,30411,7,2019-07-08,1,17,56,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL FEDERICO MONTES,NA,"208,,,",AVENIDA,CONVENCION,CALLE,ABRAHAM GONZALEZ,CALLE,PEDRO ANTONIO SANTOS,2,false,false,9,H,ND,0,0,N,N,27,26,0,0,false,3,1,CAMIONETA,ND,ND,1,2,1022,Robo de autopartes y cristalazo,-102.31188603,21.85193521
190787437,30411,7,2019-07-15,1,7,42,1,FRACCIONAMIENTO,LOS PIRULES,1053,CALLE,GERANEOS,NA,"4109,,,",CALLE,AMAPOLA,CALLE,MAGNOLIA,CALLE,GIRASOL,2,false,false,9,ND,ND,0,0,N,N,27,"25,11",0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1023,Robo de autopartes y cristalazo,-102.32082123,21.86762125
190787754,30403,7,2019-07-15,1,9,40,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,SALVADOR REYES GALLEGOS,NA,"103,,,",CALLE,CUATRO MILPAS,CALLE,ANTONIA RUIZ ESPARZA,CALLE,PENSADORES MEXICANOS,5,false,false,9,ND,ND,0,0,N,N,16,38,0,4000,false,4,1,CAMIONETA,NISSAN,MURANO,1,1,1024,Robo de autopartes y cristalazo,-102.26429369,21.91283304
190788241,30411,7,2019-07-15,1,12,6,1,FRACCIONAMIENTO,VILLAS DEL RIO,698,CALLE,RIO CALENDARIA,NA,",,,",CALLE,RIO YAQUI,CALLE,RIO NAUTLA,CALLE,RIO COTLAMANI,5,false,false,9,ND,ND,0,0,N,N,27,22,0,0,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,1025,Robo de autopartes y cristalazo,-102.24240378,21.93941822
190788877,30411,7,2019-07-15,1,14,50,1,FRACCIONAMIENTO,LOMAS DE SANTA ANITA,478,CALLE,MARIA DOLORES ESCOBEDO,NA,"103,,,",CALLE,AGUASCALIENTES ORIENTE,CALLE,JOSE MARIA VELASCO,CALLE,PABLO PICASO,4,false,false,9,ND,ND,0,0,N,N,9,"26,38",0,0,false,1,1,CAMIONETA,HONDA,CRV,1,1,1026,Robo de autopartes y cristalazo,-102.26384940,21.89093784
190792478,30411,7,2019-07-16,2,13,40,10,COMUNIDAD,LA LUZ,280P,CALLE,JOSE MARIA MORELOS Y PAVON,NA,",,,",CALLE,LOPEZ MATEOS,CALLE,MIGUEL HIDALGO,CALLE,GERMAN ESPINOZA,7,false,false,9,ND,ND,0,0,N,N,4,"22,24",0,6500,false,1,2,AUTOMOVIL,CHEVROLET,CAVALIER,1,1,1027,Robo de autopartes y cristalazo,-101.99656068,22.00145444
190795090,30411,7,2019-07-17,3,1,54,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR SAN MARCOS),435,CALLE,ERMITA DE SAN SEBASTIAN,NA,"208,,,",CALLE,FRANCISCO TENAMAZTLE,CALLE,GASPAR DE LA FUENTE,CALLE,FUERTE DOS BOCAS,5,false,false,9,H,ND,2,0,N,N,25,24,0,0,true,1,2,CAMIONETA,ND,ND,1,1,1028,Robo de autopartes y cristalazo,-102.26339477,21.92648000
190795305,30411,7,2019-07-17,3,6,13,5,FRACCIONAMIENTO,PASEOS DE LAS HACIENDAS,213P,CALLE,PASEOS DEL ALAMO,NA,"234,,,",AVENIDA,PASEOS DEL UPALA,AVENIDA,PASEOS DE LA HACIENDA PRIMAVERA,CALLE,PASEOS DE LA HIGUERA,7,false,false,9,ND,ND,0,0,N,N,27,11,0,2000,true,1,2,CAMION,ND,ND,1,1,1029,Robo de autopartes y cristalazo,-102.34306689,21.99098827
190795350,30411,7,2019-07-17,3,7,1,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL FRANCISCO MURGUIA,NA,"208,,,",AVENIDA,DOCTOR MARIANO AZUELA,AVENIDA,CONVENCION,CALLE,GENERAL JESUS CARRANZA,2,false,false,9,ND,ND,0,0,N,N,16,"25,22,24",0,3500,false,1,2,CAMIONETA,DODGE,CARAVAN,1,1,1030,Robo de autopartes y cristalazo,-102.30373389,21.85137526
