FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESIONADO,FALLECIDOS,TRASL_HOSP,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
221288851,30414,ROBO A CASA,10,2022-10-27,43,4,1,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,585,CALLE,LIBRA,NA,NA,"407,,,",CALLE,VEGA,5,4,30,26,1,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,39,0,0,false,1,20,-102.26380000,2147,-102.26385361,21.87159941
221289809,30414,ROBO A CASA,10,2022-10-27,43,4,1,RANCHO,EL POTRERO NUEVO,16R,CARRETERA,69,NA,NA,",,,",CARRETERA,39,5,0,0,21,7,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"12,27,31",0,0,false,1,1,-102.17180000,2148,-102.17183200,21.74856400
221290525,30414,ROBO A CASA,10,2022-10-27,43,4,1,FRACCIONAMIENTO,LOS LAURELES II,531,CALLE,AJENJO,NA,NA,"131,,,",CIRCUITO,EL LAUREL ORIENTE,4,0,0,9,4,NO,false,false,9,VECINOS,ND,6,0,N,N,0,0,false,N,N,NO,"1,2,5,11,15,28",30000,100000,false,1,1,-102.23870000,2149,-102.23872997,21.90551555
221291020,30414,ROBO A CASA,10,2022-10-27,43,4,1,FRACCIONAMIENTO,BENITO PALOMINO DENA,220,CALLE,JOSE MEDINA,NA,NA,"342,,,",BOULEVARD,GUADALUPANO,3,0,0,22,5,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"11,42",0,60000,false,1,1,-102.24960000,2150,-102.24964725,21.91429151
221291103,30414,ROBO A CASA,10,2022-10-27,43,4,1,FRACCIONAMIENTO,VILLA LAS PALMAS III,388,CALLE,PALMA AGUSTA,NA,NA,"205,,,",PROLONGACION,MARINAO HIDALGO,5,0,0,27,4,NO,false,false,9,HIJO,SIMON REYES,5,0,N,N,0,0,false,N,N,NO,"3,15,38",0,16000,false,1,1,-102.23470000,2151,-102.23473414,21.85355200
221291351,30414,ROBO A CASA,10,2022-10-27,43,4,5,RANCHO,SIN NOMBRE,1073R,CARRETERA,93,4.8,NA,",,,",N,N,7,0,0,14,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"5,11,25,27",0,500000,false,1,1,-102.48210000,2152,-102.48218430,21.92209304
221291600,30414,ROBO A CASA,10,2022-10-27,43,4,1,COLONIA,INDUSTRIAL,240,CALLE,CARLOS M LOPEZ,NA,NA,"215,,,",CALLE,MELQUIADES MORENO,6,0,0,14,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,5,0,0,false,1,6,-102.29460000,2153,-102.29468244,21.89785034
221291629,30414,ROBO A CASA,10,2022-10-27,43,4,1,FRACCIONAMIENTO,LOS ARCOS,610,CALLE,ARCO IRIS,NA,NA,"127,,,",AVENIDA,FERROCARRIL,3,21,55,24,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,14,0,0,false,1,1,-102.28730000,2154,-102.28739171,21.90710581
221292025,30414,ROBO A CASA,10,2022-10-27,43,4,5,FRACCIONAMIENTO,EL MEZQUITAL,902,PROLONGACION,PLAN DE ALLENDE,NA,NA,",,,",CALLE,MEZQUITAL,7,0,0,24,1,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,10,0,0,false,1,2,-102.35730000,2155,-102.35730949,21.96759789
221292363,30414,ROBO A CASA,10,2022-10-28,43,5,1,CONDOMINIO,OJOCALIENTE INEGI,576,AVENIDA,OJOCALIENTE,NA,E2B,"1302,,304,",CALLE,LOS CONOS,4,0,0,25,9,NO,false,false,9,VECINO,ND,6,0,N,N,0,0,false,N,N,NO,"5,10",0,0,false,1,1,-102.25080000,2156,-102.25089571,21.87839495
221294283,30414,ROBO A CASA,10,2022-10-28,43,5,1,FRACCIONAMIENTO,CLAUSTROS LOMA DORADA,343,BOULEVARD,GUADALUPANO,NA,NA,"1508,,,",AVENIDA,LOMA DORADA,3,0,0,27,5,NO,false,false,9,MENOR,ND,8,0,N,N,0,0,false,N,N,NO,11,0,0,false,1,2,-102.24320000,2157,-102.24322467,21.92046148
221294392,30414,ROBO A CASA,10,2022-10-28,43,8,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,340,AVENIDA,RODOLFO LANDEROS,NA,NA,"2204,27,,",AVENIDA,LOMA DEL CARDENAL,3,0,0,1,3,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,5,6,10,11",0,82000,false,1,1,-102.23310000,2158,-102.23318699,21.91159676
221296194,30414,ROBO A CASA,10,2022-10-29,43,6,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,CALLE,MANUEL ZAVALA MADRIGAL,NA,NA,"1108,C,,",CALLE,FRANCISCO DE LA J HERRERA L,3,0,0,27,5,NO,false,false,9,EXESPOSA,ND,5,0,N,N,0,0,false,N,N,NO,"5,12,38",0,0,false,1,1,-102.26380000,2159,-102.26388698,21.93769806
221296416,30414,ROBO A CASA,10,2022-10-29,43,6,1,FRACCIONAMIENTO,PARRAS,224,CALLE,RIBIER,NA,NA,"242,,,",AVENIDA,AGUASCALIENTES NORTE,3,0,0,15,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,1,0,0,false,1,1,-102.27720000,2160,-102.27725573,21.91431285
221296940,30414,ROBO A CASA,10,2022-10-29,43,6,1,FRACCIONAMIENTO,JOSE GUADALUPE PERALTA GAMEZ,334,CALLE,URBANISMO,NA,NA,"161,,,",AVENIDA,PROCERES DE LA ENSEÑANZA,4,0,0,5,5,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,2,45",0,0,false,1,1,-102.23810000,2161,-102.23816683,21.87327360
221297015,30414,ROBO A CASA,10,2022-10-29,43,6,5,CONDOMINIO,RESERVA SAN CRISTOBAL,1087,CALLE,TROJE EL CHICHIMECO,NA,NA,"133,,,",CALLE,TROJE EL CHOCHIMECO,7,4,40,26,7,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,15",0,20000,false,1,1,-102.30630000,2162,-102.30635369,21.94002860
221297165,30414,ROBO A CASA,10,2022-10-29,43,6,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,CALLE,HACIENDA JALTOMATE,NA,NA,"128,,,",CALLE,HACIENDA EL TORIL,4,0,0,27,4,NO,false,false,9,1 HOMBRE,MARIO ORTIZ GOMEZ 47 AÑOS,8,1,N,N,0,0,false,N,N,NO,"11,45",0,0,false,1,4,-102.24950000,2163,-102.24958969,21.88866638
221297246,30414,ROBO A CASA,10,2022-10-29,43,6,11,FRACCIONAMIENTO,SANTA BARBARA,1313,PRIVADA,SAN JORGE PONIENTE,NA,NA,"108,,,",AVENIDA,SANTA BARBARA,7,0,0,16,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,11",0,9000,false,1,1,-102.26320000,2164,-102.26322545,22.06158799
221297673,30414,ROBO A CASA,10,2022-10-29,43,6,1,COMUNIDAD,EL DURAZNILLO,17,CALLE,MANZANA,NA,NA,"112,,,",CALLE,LIMON,5,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,20,0,0,false,1,27,-102.16670000,2165,-102.16672543,21.78419030
221298230,30414,ROBO A CASA,10,2022-10-29,43,6,1,FRACCIONAMIENTO,JARDINES DE AGUASCALIENTES,255,CALLE,JARDIN DE LOS CIPRESES,NA,NA,"101,,,",CALLE,JARDIN DE LA ESTACION,5,0,0,21,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,11,0,5000,false,1,1,-102.28870000,2166,-102.28879388,21.86684893
221299307,30414,ROBO A CASA,10,2022-10-29,43,8,9,RANCHO,EL PROGRESO (LA TIRA),1256R,CALLE,LOS LOMELI,NA,NA,"109,,,",N,N,7,0,0,27,9,DESHABITADA,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"6,7,11",0,0,false,1,1,-102.23170000,2167,-102.23179677,22.25779568
221300268,30414,ROBO A CASA,10,2022-10-29,43,6,1,COLONIA,EL RIEGO,291,CALLE,BROCOLI,NA,NA,"119,,,",CALLE,SIN NOMBRE,4,0,0,4,9,NO,false,false,9,ND,OLIVER FABIAN PEÑA DIAS,8,1,FALTA,N,0,0,false,N,N,NO,"15,28",800,2300,false,1,4,-102.25210000,2168,-102.25210982,21.89240528
221301851,50102,CONSUMADO CASA,10,2022-10-30,43,7,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,323,AVENIDA,CULTRUA AZTECA,NA,NA,"254,,,",AVENIDA,CULTURA OLMECA,3,4,30,26,9,NO,false,false,9,1 HOMBRE,EL NEGRO,8,0,N,N,0,0,false,N,N,NO,8,0,0,true,1,10,-102.24190000,2169,-102.24190810,21.90664937
221302197,30414,ROBO A CASA,10,2022-10-30,43,7,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS II,340,CALLE,CULTURA ZOQUE,NA,NA,"107,,3,",AVENIDA,CULTURA MAYA,3,0,0,5,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,18,0,0,false,1,1,-102.24050000,2170,-102.24054980,21.91318355
221302322,30414,ROBO A CASA,10,2022-10-30,43,7,1,FRACCIONAMIENTO,OJOCALIENTE III,191,CALLE,PEÑUELAS,NA,NA,",,,",AVENIDA,SIGLO XXI,4,0,0,16,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,11,0,200,false,1,6,-102.24950000,2171,-102.24950266,21.88186609
221303968,30414,ROBO A CASA,10,2022-10-30,43,8,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ALAMEDA",330,PROLONGACION,VALLE DE LOS ROMEROS,NA,NA,"1012,,,",CALLE,LUIS CHAVEZ,3,0,0,1,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,21",0,50000,false,1,1,-102.26350000,2172,-102.26353915,21.93506047
221303987,30414,ROBO A CASA,10,2022-10-30,43,8,1,FRACCIONAMIENTO,OJOCALIENTE FOVISSSTE II,587,CALLE,CERRO DEL PICACHO,NA,NA,"224,,,",CALLE,CERRO DE LOS GALLOS,5,0,0,1,8,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,10,0,20000,false,1,1,-102.25950000,2173,-102.25959668,21.87183809
221305721,30414,ROBO A CASA,10,2022-10-31,44,1,1,FRACCIONAMIENTO,VISTA DEL SOL III,571,CALLE,NUBLADO,NA,NA,"207,,,",CALLE,AMANECER,5,0,0,27,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,11,0,0,false,1,1,-102.26790000,2174,-102.26796925,21.86243764
221305801,30414,ROBO A CASA,10,2022-10-31,44,1,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,CALLE,PICO DE VALDEMADERA,NA,NA,"412,,,",CALLE,CERRO CALVITERO,3,0,0,27,9,NO,false,false,9,VECINOS,ND,6,0,N,N,0,0,false,N,N,NO,20,0,0,false,1,21,-102.26690000,2175,-102.26690497,21.93993194
221306581,30414,ROBO A CASA,10,2022-10-31,44,1,1,FRACCIONAMIENTO,JARDINES DE LAS BUGAMBILIAS,186,CALLE,INEGI,NA,NA,"404,,,",CALLE,HOSTAL DE LAS CAMELINAS,5,8,30,19,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"2,6,9,14",0,300500,false,1,1,-102.28510000,2176,-102.28518488,21.85794395
221307075,30414,ROBO A CASA,10,2022-10-31,44,1,5,COLONIA,LOS VAZQUEZ,917,CALLE,PIRUL,NA,NA,"926,,,",N,N,7,0,0,2,3,NO,false,false,9,1 HOMRE,ND,8,0,N,N,0,0,false,N,N,NO,"15,27,28,40",1500,10000,false,1,1,-102.29560000,2177,-102.29569239,22.00048612
221184238,30904,ROBO A CASA,10,2022-10-01,39,6,5,FRACCIONAMIENTO,VALLE DE MARGARITAS,918,AVENIDA,MARGARITAS,NA,NA,",,,",CARRETERA,A SAN ANTONIO DE LOS HORCONES,7,0,0,19,4,NO,true,false,9,1 HOMBRE,EL GRIS,8,0,N,N,0,0,false,N,N,NO,10,0,0,true,1,69,-102.29290000,2178,-102.29295584,21.99250606
221185488,30904,ROBO A CASA,10,2022-10-01,39,6,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,NA,NA,",,,",CALLE,PROFESOR J GUADALUPE PERALTA,2,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,1,0,0,false,1,2,-102.32380000,2179,-102.32380400,21.84902843
221203302,30907,ROBO A CASA,10,2022-10-05,40,8,5,COLONIA,EL TORITO,1071,CALLE,SOR JUANA INES DE LA CRUZ,NA,NA,"104,,,",CALLE,CHUCATA,7,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,39,0,0,false,1,2,-102.35510000,2180,-102.35518502,21.96753878
221206375,30904,ROBO A CASA,10,2022-10-01,40,2,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,CALLE,ADALBERTO SANTACRUZ DE SANTIAGO,NA,NA,"212,,,",AVENIDA,JOSE DE JESUS GONZALEZ GARCIA,3,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,3,5,12,15",0,0,false,1,1,-102.25350000,2181,-102.25351218,21.92988958
221206660,30904,ROBO A CASA,10,2022-10-06,40,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,CALLE,RAFAEL GOMEZ RAMIREZ,NA,NA,"509,,,",CALLE,MIGUEL RENDON PICHARDO,3,9,0,20,9,NO,false,false,9,2 HOMBRES,ND,8,0,N,N,0,0,false,N,N,NO,38,0,0,false,1,21,-102.25500000,2182,-102.25500005,21.93823352
221207105,30907,ROBO A CASA,10,2022-10-04,40,2,1,FRACCIONAMIENTO,VILLA SUR,630,AVENIDA,FLOR DE NOCHEBUENA 98,NA,NA,"8,,,",AVENIDA,FLOR DE NOCHEBUENA 98,5,0,0,27,9,NO,false,false,9,1 HOMBRE,ND,8,0,N,N,0,0,false,N,N,NO,14,0,0,false,1,28,-102.27520000,2183,-102.27523371,21.82431725
221208512,30907,ROBO A CASA,10,2022-10-06,40,4,1,FRACCIONAMIENTO,REAL DE HACIENDAS,307,CALLE,HACIENDA CANO,NA,NA,"115,,,",AVENIDA,HACIENDA JOSE MARIA MORELOS,4,0,0,27,1,NO,false,false,9,VECINOS,ND,6,0,N,N,0,0,false,N,N,NO,19,0,0,false,1,11,-102.24320000,2184,-102.24324585,21.88803454
221213181,30904,ROBO A CASA,10,2022-10-08,40,6,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,CALLE,MONTE VISION,NA,NA,"301,D,,",CALLE,MONTES DE TOLEDO,3,1,55,25,9,DESHABITADA,true,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,10,0,0,false,1,2,-102.25660000,2185,-102.25660948,21.94580916
221213518,30904,ROBO A CASA,10,2022-10-08,40,6,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ENCINO",331,CALLE,MEZQUITAL,NA,NA,"117,,,",CALLE,13 DE NOVIEMBRE,3,6,18,19,9,DESHABITADA,true,false,9,2 HOMBRES,ND,8,0,N,N,0,0,false,COCHE,GRIS,NO,39,0,0,false,1,1,-102.27160000,2186,-102.27160694,21.92340783
221213660,30904,ROBO A CASA,10,2022-10-08,40,6,11,RURAL,LA ESCONDIDA (EL SALERO),1325,CALLE,ANTONIO FEMAT,NA,NA,"102,,,",CALLE,EMILIANO ZAPATA,7,0,0,5,4,NO,false,false,9,VECINOS,ND,6,0,N,N,0,0,false,N,N,NO,14,0,0,false,1,1,-102.26040000,2187,-102.26040408,22.03546034
